threshold,target,side,unsupported,prior_state,decision_state,prior_node_targets,claim
0.05,35,supported,False,1,-1,"[28, 30, 31]",caps with a folded piece of cloth tied on top
0.1,35,supported,False,1,-1,"[28, 30, 31]",caps with a folded piece of cloth tied on top
0.2,35,supported,False,1,-1,"[28, 30]",caps with a folded piece of cloth tied on top
