id,source_id,error_start,normal_start,length,observed_tokens,method,aggregation,error_score,normal_score,gap,paired_win
12045,14323,91,48,15,1,full,current,-1.3103959799500178,-2.5519634500271726,1.2415674700771548,1.0
12045,14323,91,48,15,1,full,prefix_mean,-1.3103959799500178,-2.5519634500271726,1.2415674700771548,1.0
12045,14323,91,48,15,1,history_mean,current,-2.7818568946625533,-3.80589748054914,1.0240405858865866,1.0
12045,14323,91,48,15,1,history_mean,prefix_mean,-2.7818568946625533,-3.80589748054914,1.0240405858865866,1.0
12045,14323,91,48,15,1,current_increment,current,1.4714609147125357,1.2539340305219675,0.2175268841905682,1.0
12045,14323,91,48,15,1,current_increment,prefix_mean,1.4714609147125357,1.2539340305219675,0.2175268841905682,1.0
12045,14323,91,48,15,1,prompt_only,current,-3.699002241350135,-4.599494073348169,0.9004918319980342,1.0
12045,14323,91,48,15,1,prompt_only,prefix_mean,-3.699002241350135,-4.599494073348169,0.9004918319980342,1.0
12045,14323,91,48,15,2,full,current,-1.0406369534737874,-4.089928116253391,3.049291162779604,1.0
12045,14323,91,48,15,2,full,prefix_mean,-1.1755164667119025,-3.320945783140282,2.1454293164283795,1.0
12045,14323,91,48,15,2,history_mean,current,-2.5733282195346363,-3.4603754365912094,0.8870472170565731,1.0
12045,14323,91,48,15,2,history_mean,prefix_mean,-2.6775925570985946,-3.6331364585701746,0.9555439014715801,1.0
12045,14323,91,48,15,2,current_increment,current,1.532691266060849,-0.629552679662182,2.1622439457230307,1.0
12045,14323,91,48,15,2,current_increment,prefix_mean,1.5020760903866923,0.31219067542989276,1.1898854149567994,1.0
12045,14323,91,48,15,2,prompt_only,current,-0.5315129859442036,-4.028117194632342,3.4966042086881384,1.0
12045,14323,91,48,15,2,prompt_only,prefix_mean,-2.1152576136471692,-4.313805633990256,2.198548020343087,1.0
12045,14323,91,48,15,4,full,current,0.6801079350118202,-4.388136770040879,5.0682447050527,1.0
12045,14323,91,48,15,4,full,prefix_mean,-0.06667098370628693,-3.6324260308045453,3.5657550470982584,1.0
12045,14323,91,48,15,4,history_mean,current,-2.091553515251212,-3.4643744343231333,1.3728209190719212,1.0
12045,14323,91,48,15,4,history_mean,prefix_mean,-2.4900788291028575,-3.564669126729012,1.0745902976261545,1.0
12045,14323,91,48,15,4,current_increment,current,2.771661450263032,-0.923762335717746,3.695423785980778,1.0
12045,14323,91,48,15,4,current_increment,prefix_mean,2.4234078453965706,-0.06775690407553286,2.4911647494721034,1.0
12045,14323,91,48,15,4,prompt_only,current,0.5294959612766241,-4.798164117005968,5.327660078282593,1.0
12045,14323,91,48,15,4,prompt_only,prefix_mean,-0.29433331145850467,-4.274500071042627,3.980166759584122,1.0
12045,14323,91,48,15,8,full,current,3.440098653500117,-4.5724834002496895,8.012582053749806,1.0
12045,14323,91,48,15,8,full,prefix_mean,-0.09916168013324,-4.231470265903086,4.132308585769846,1.0
12045,14323,91,48,15,8,history_mean,current,-1.028597312512352,-3.76259529599663,2.733997983484278,1.0
12045,14323,91,48,15,8,history_mean,prefix_mean,-1.9286777831903792,-3.5994843069237676,1.6708065237333884,1.0
12045,14323,91,48,15,8,current_increment,current,4.4686959660124685,-0.8098881042530595,5.278584070265528,1.0
12045,14323,91,48,15,8,current_increment,prefix_mean,1.829516103057139,-0.6319859589793189,2.461502062036458,1.0
12045,14323,91,48,15,8,prompt_only,current,3.801629817860662,-4.27855253867031,8.080182356530972,1.0
12045,14323,91,48,15,8,prompt_only,prefix_mean,-0.12578312022933513,-4.3909608781797935,4.265177757950458,1.0
12219,14353,218,197,13,1,full,current,-3.378915541604838,-3.983896768230621,0.604981226625783,1.0
12219,14353,218,197,13,1,full,prefix_mean,-3.378915541604838,-3.983896768230621,0.604981226625783,1.0
12219,14353,218,197,13,1,history_mean,current,-3.2246251526026755,-3.35264966127678,0.12802450867410453,1.0
12219,14353,218,197,13,1,history_mean,prefix_mean,-3.2246251526026755,-3.35264966127678,0.12802450867410453,1.0
12219,14353,218,197,13,1,current_increment,current,-0.1542903890021625,-0.631247106953841,0.4769567179516785,1.0
12219,14353,218,197,13,1,current_increment,prefix_mean,-0.1542903890021625,-0.631247106953841,0.4769567179516785,1.0
12219,14353,218,197,13,1,prompt_only,current,-4.918733929277322,-1.886361308552416,-3.032372620724906,0.0
12219,14353,218,197,13,1,prompt_only,prefix_mean,-4.918733929277322,-1.886361308552416,-3.032372620724906,0.0
12219,14353,218,197,13,2,full,current,-3.1229798493345844,-3.609810663911557,0.4868308145769724,1.0
12219,14353,218,197,13,2,full,prefix_mean,-3.250947695469711,-3.796853716071089,0.5459060206013779,1.0
12219,14353,218,197,13,2,history_mean,current,-3.2746781360630166,-3.40231818030569,0.1276400442426735,1.0
12219,14353,218,197,13,2,history_mean,prefix_mean,-3.249651644332846,-3.377483920791235,0.12783227645838924,1.0
12219,14353,218,197,13,2,current_increment,current,0.1516982867284322,-0.2074924836058667,0.3591907703342989,1.0
12219,14353,218,197,13,2,current_increment,prefix_mean,-0.0012960511368651506,-0.41936979527985385,0.4180737441429887,1.0
12219,14353,218,197,13,2,prompt_only,current,-4.790611451530008,-2.4828935290902745,-2.3077179224397337,0.0
12219,14353,218,197,13,2,prompt_only,prefix_mean,-4.854672690403666,-2.1846274188213455,-2.67004527158232,0.0
12219,14353,218,197,13,4,full,current,-2.0852485348038288,-1.817302274359004,-0.26794626044482484,0.0
12219,14353,218,197,13,4,full,prefix_mean,-2.615876584333879,-2.89702781881748,0.2811512344836009,1.0
12219,14353,218,197,13,4,history_mean,current,-3.290459439470203,-3.237369331432285,-0.05309010803791825,0.0
12219,14353,218,197,13,4,history_mean,prefix_mean,-3.2616616713813387,-3.343734330699775,0.08207265931843644,1.0
12219,14353,218,197,13,4,current_increment,current,1.2052109046663744,1.4200670570732812,-0.2148561524069068,0.0
12219,14353,218,197,13,4,current_increment,prefix_mean,0.64578508704746,0.4467065118822948,0.19907857516516514,1.0
12219,14353,218,197,13,4,prompt_only,current,-3.664856382387288,-3.6628257825184978,-0.0020305998687901727,0.0
12219,14353,218,197,13,4,prompt_only,prefix_mean,-4.696629700917318,-3.033369360961172,-1.6632603399561456,0.0
12219,14353,218,197,13,8,full,current,-4.500566929497847,-3.0406802676679203,-1.4598866618299264,0.0
12219,14353,218,197,13,8,full,prefix_mean,-3.2222528387522633,-2.9114847759734976,-0.3107680627787657,0.0
12219,14353,218,197,13,8,history_mean,current,-3.002042678178623,-3.153151151643942,0.1511084734653192,1.0
12219,14353,218,197,13,8,history_mean,prefix_mean,-3.1577514245625053,-3.269661284194085,0.11190985963157951,1.0
12219,14353,218,197,13,8,current_increment,current,-1.4985242513192238,0.1124708839760217,-1.6109951352952456,0.0
12219,14353,218,197,13,8,current_increment,prefix_mean,-0.06450141418975797,0.3581765082205872,-0.4226779224103452,0.0
12219,14353,218,197,13,8,prompt_only,current,-3.9660053469335335,-4.441181618693138,0.4751762717596044,1.0
12219,14353,218,197,13,8,prompt_only,prefix_mean,-4.022551263691912,-3.9323275947988288,-0.09022366889308309,0.0
12261,14360,241,208,30,1,full,current,0.3148461243037975,-2.984048448176113,3.298894572479911,1.0
12261,14360,241,208,30,1,full,prefix_mean,0.3148461243037975,-2.984048448176113,3.298894572479911,1.0
12261,14360,241,208,30,1,history_mean,current,-3.876473340166024,-3.6454197310761622,-0.23105360908986183,0.0
12261,14360,241,208,30,1,history_mean,prefix_mean,-3.876473340166024,-3.6454197310761622,-0.23105360908986183,0.0
12261,14360,241,208,30,1,current_increment,current,4.191319464469821,0.6613712829000495,3.5299481815697713,1.0
12261,14360,241,208,30,1,current_increment,prefix_mean,4.191319464469821,0.6613712829000495,3.5299481815697713,1.0
12261,14360,241,208,30,1,prompt_only,current,1.1222519396015558,-4.079297957899123,5.201549897500679,1.0
12261,14360,241,208,30,1,prompt_only,prefix_mean,1.1222519396015558,-4.079297957899123,5.201549897500679,1.0
