target,query,layer,head,old_before,local_before,old_now,local_now,missing_before,missing_now,shift_low,shift_high,before_margin_low,before_margin_high,after_margin_low,after_margin_high
5,539,0,1,0.167999267578125,0.621826171875,0.4400634765625,0.057861328125,0.137664794921875,0.3087158203125,0.1343994140625,0.580780029296875,0.316162109375,0.59149169921875,0.073486328125,0.69091796875
16,550,0,1,0.21172396341959634,0.6725791295369467,0.53045654296875,0.26177978515625,0.11386585235595703,0.207763671875,0.20303567250569665,0.5246651967366537,0.3469893137613933,0.5747210184733074,0.0609130859375,0.4764404296875
81,615,2,13,0.0303955078125,0.2631937662760417,0.5396041870117188,0.0,0.052764892578125,0.03070831298828125,0.23248545328776044,0.3159586588541667,0.18003336588541669,0.2855631510416667,0.5088958740234375,0.5703125
26,560,5,3,0.009918212890625,0.24895222981770834,0.149658203125,0.06195068359375,0.035400390625,0.05401611328125,0.104339599609375,0.193756103515625,0.20363362630208334,0.27443440755208337,0.03369140625,0.1417236328125
103,637,5,3,0.008880615234375,0.3076578776041667,0.2276611328125,0.0169677734375,0.059763590494791664,0.07177734375,0.15901692708333334,0.290557861328125,0.23901367187500003,0.35854085286458337,0.138916015625,0.282470703125
109,643,5,3,0.003964742024739583,0.18040974934895834,0.1617431640625,0.00738525390625,0.02526092529296875,0.04962158203125,0.12340291341145834,0.1982854207356771,0.15118408203125,0.2017059326171875,0.104736328125,0.2039794921875
33,567,5,12,0.046142578125,0.1842041015625,0.583740234375,0.041748046875,0.0274658203125,0.04052734375,0.1019287109375,0.169921875,0.110595703125,0.16552734375,0.50146484375,0.58251953125
80,614,5,12,0.057718912760416664,0.24971516927083334,0.26513671875,0.0,0.061055501302083336,0.14501953125,0.10469563802083334,0.3107706705729167,0.13094075520833334,0.2530517578125,0.1201171875,0.41015625
103,637,5,12,0.024739583333333332,0.2684733072916667,0.3837890625,0.029296875,0.051839192708333336,0.0830078125,0.15616861979166669,0.291015625,0.19189453125,0.2955729166666667,0.271484375,0.4375
103,637,5,13,0.006312052408854167,0.3618570963541667,0.175537109375,0.0654296875,0.0432891845703125,0.075439453125,0.12593587239583334,0.24466451009114584,0.312255859375,0.398834228515625,0.03466796875,0.185546875
109,643,5,13,0.004482269287109375,0.24004618326822916,0.18359375,0.01318359375,0.025002797444661457,0.06494140625,0.15410868326822916,0.24405288696289062,0.21056111653645831,0.26056671142578125,0.10546875,0.2353515625
81,615,5,22,0.11556498209635417,0.3044230143229167,0.67279052734375,0.0240478515625,0.1081695556640625,0.11273193359375,0.16764322916666669,0.3885447184244792,0.0806884765625,0.297027587890625,0.5360107421875,0.761474609375
48,582,6,29,0.01312255859375,0.384307861328125,0.191925048828125,0.01025390625,0.077178955078125,0.094696044921875,0.10162353515625,0.27349853515625,0.29400634765625,0.4483642578125,0.08697509765625,0.2763671875
47,581,7,2,0.039347330729166664,0.4820149739583333,0.210693359375,0.08740234375,0.06327311197916667,0.119873046875,0.10807291666666667,0.29121907552083337,0.37939453124999994,0.5059407552083333,0.00341796875,0.2431640625
109,643,7,2,0.0008138020833333334,0.6318817138671875,0.1749267578125,0.05615234375,0.023554484049479168,0.1009521484375,0.1505584716796875,0.27506510416666663,0.607513427734375,0.6546223958333333,0.017822265625,0.2197265625
26,560,7,10,0.019816080729166668,0.4802652994791667,0.4794921875,0.045654296875,0.15226236979166666,0.305908203125,0.12870279947916669,0.5868733723958334,0.30818684895833337,0.6127115885416666,0.1279296875,0.73974609375
63,597,7,27,0.060221354166666664,0.7208251953125,0.402587890625,0.0,0.09151204427083333,0.210693359375,0.2508544921875,0.5530598958333333,0.569091796875,0.7521158854166667,0.19189453125,0.61328125
93,627,8,13,0.054667154947916664,0.4595133463541667,0.70361328125,0.08837890625,0.16029866536458334,0.142578125,0.22855631510416669,0.53143310546875,0.24454752604166666,0.5651448567708334,0.47265625,0.7578125
67,601,8,22,0.06990559895833333,0.3679402669270833,0.354248046875,0.087158203125,0.08949788411458333,0.11328125,0.16750081380208331,0.37027994791666663,0.20853678385416669,0.3875325520833333,0.15380859375,0.38037109375
76,610,8,22,0.0064697265625,0.4265543619791667,0.479248046875,0.0,0.12491861979166667,0.304931640625,0.12162272135416669,0.5514729817708334,0.295166015625,0.5450032552083334,0.17431640625,0.7841796875
93,627,8,22,0.064208984375,0.37957763671875,0.3587646484375,0.0,0.08746337890625,0.2213134765625,0.15826416015625,0.467041015625,0.2279052734375,0.40283203125,0.137451171875,0.580078125
109,643,8,22,0.017191569010416668,0.4886067708333333,0.3529052734375,0.1142578125,0.08013916015625,0.1597900390625,0.21455891927083331,0.4544881184895833,0.39127604166666663,0.5515543619791666,0.078857421875,0.3984375
26,560,9,8,0.14599609375,0.3753255208333333,0.4248046875,0.0777587890625,0.12646484375,0.1614990234375,0.13606770833333331,0.4240315755208333,0.10286458333333331,0.3557942708333333,0.185546875,0.508544921875
6,540,9,9,0.12353515625,0.6066080729166666,0.41064453125,0.2091064453125,0.0462646484375,0.06170654296875,0.2408447265625,0.34881591796875,0.43680826822916663,0.5293375651041666,0.13983154296875,0.26324462890625
26,560,9,9,0.19596354166666666,0.6300455729166666,0.6806640625,0.08056640625,0.062337239583333336,0.05615234375,0.42236328125000006,0.5408528645833334,0.3717447916666667,0.4964192708333333,0.5439453125,0.65625
32,566,9,9,0.08076985677083333,0.6115315755208334,0.46923828125,0.156494140625,0.10994466145833333,0.167236328125,0.27852376302083337,0.5557047526041667,0.4208170572916667,0.6407063802083334,0.1455078125,0.47998046875
76,610,9,9,0.07657877604166667,0.3975830078125,0.4649658203125,0.0,0.16743977864583334,0.2821044921875,0.115478515625,0.5650227864583334,0.15356445312499997,0.48844401041666663,0.182861328125,0.7470703125
93,627,9,9,0.15279134114583334,0.4501139322916667,0.474609375,0.0,0.1529541015625,0.1630859375,0.16886393229166663,0.48490397135416663,0.14436848958333337,0.45027669270833337,0.3115234375,0.6376953125
93,627,9,10,0.014567057291666666,0.5184224446614584,0.4652099609375,0.143310546875,0.078338623046875,0.1243896484375,0.25072224934895837,0.45345052083333337,0.42551676432291674,0.5821940104166667,0.197509765625,0.4462890625
26,560,10,16,0.07718912760416667,0.4972127278645833,0.2933349609375,0.1717529296875,0.07468668619791667,0.114990234375,0.14145914713541663,0.3311360677083333,0.34533691406249994,0.4947102864583333,0.006591796875,0.236572265625
93,627,10,30,0.212646484375,0.4620768229166667,0.5667724609375,0.031494140625,0.17390950520833334,0.2005615234375,0.18021647135416666,0.5546875,0.07552083333333334,0.42333984375,0.334716796875,0.73583984375
63,597,11,8,0.12021891276041667,0.4495849609375,0.517822265625,0.087646484375,0.19484456380208334,0.115234375,0.20275878906249997,0.5128377278645833,0.13452148437499997,0.5242106119791666,0.31494140625,0.54541015625
99,633,11,16,0.0719451904296875,0.551025390625,0.443603515625,0.16259765625,0.08666483561197917,0.270751953125,0.11767578125,0.4750925699869792,0.3924153645833333,0.5657450358072916,0.01025390625,0.5517578125
26,560,11,17,0.20418294270833334,0.5054117838541666,0.5640869140625,0.10546875,0.0804443359375,0.1234130859375,0.27652994791666663,0.48038736979166663,0.22078450520833326,0.38167317708333326,0.335205078125,0.58203125
26,560,11,19,0.10652669270833333,0.4222005208333333,0.414794921875,0.1864013671875,0.079345703125,0.1331787109375,0.10262044270833331,0.3151448567708333,0.236328125,0.39501953125,0.09521484375,0.361572265625
33,567,11,19,0.06976318359375,0.4297688802083333,0.363525390625,0.096923828125,0.10788981119791667,0.227294921875,0.10555013020833331,0.44073486328125,0.25211588541666663,0.4678955078125,0.039306640625,0.493896484375
26,560,11,31,0.0390625,0.29248046875,0.23779296875,0.05181884765625,0.057779947916666664,0.04632568359375,0.14095052083333334,0.24505615234375,0.19563802083333334,0.3111979166666667,0.1396484375,0.2322998046875
26,560,12,17,0.11686197916666667,0.47186279296875,0.44732666015625,0.19677734375,0.034159342447916664,0.03948974609375,0.235595703125,0.3092447916666667,0.32084147135416663,0.38916015625,0.2110595703125,0.2900390625
32,566,12,17,0.028818766276041668,0.5164794921875,0.29638671875,0.076171875,0.046824137369791664,0.05712890625,0.22074381510416666,0.3246968587239583,0.44083658854166663,0.53448486328125,0.1630859375,0.27734375
47,581,12,17,0.1220703125,0.3385416666666667,0.4881591796875,0.095458984375,0.06770833333333333,0.0706787109375,0.17240397135416669,0.310791015625,0.14876302083333337,0.2841796875,0.322021484375,0.46337890625
6,540,12,18,0.057454427083333336,0.4578450520833333,0.2330322265625,0.0484619140625,0.049092610677083336,0.05584716796875,0.12648518880208331,0.23142496744791666,0.3512980143229167,0.4494832356770833,0.12872314453125,0.24041748046875
26,560,12,18,0.1417236328125,0.4369710286458333,0.404052734375,0.1455078125,0.048258463541666664,0.052001953125,0.21407063802083334,0.3143310546875,0.24698893229166666,0.343505859375,0.20654296875,0.310546875
92,626,12,18,0.030934651692708332,0.4996541341145833,0.2242431640625,0.049072265625,0.081390380859375,0.1407470703125,0.11191813151041666,0.33405558268229163,0.3873291015625,0.55010986328125,0.034423828125,0.31591796875
33,567,12,28,0.159912109375,0.4662272135416667,0.4227294921875,0.0311279296875,0.10563151041666667,0.221923828125,0.15718587239583331,0.4847412109375,0.20068359375,0.41194661458333337,0.169677734375,0.613525390625
32,566,13,24,0.038411458333333336,0.6544596354166666,0.40283203125,0.119140625,0.11930338541666667,0.16748046875,0.2451171875,0.5319010416666667,0.4967447916666666,0.7353515624999999,0.1162109375,0.451171875
87,621,13,24,0.0484619140625,0.5425618489583334,0.4814453125,0.022216796875,0.1710205078125,0.257080078125,0.261962890625,0.6900634765625,0.32307942708333337,0.6651204427083334,0.2021484375,0.71630859375
109,643,13,24,0.035929361979166664,0.5329182942708334,0.4000244140625,0.0,0.2265625,0.3167724609375,0.13753255208333331,0.6808675130208333,0.2704264322916667,0.7235514322916667,0.083251953125,0.716796875
26,560,14,10,0.22330729166666666,0.4989013671875,0.50634765625,0.119384765625,0.14969889322916666,0.1871337890625,0.1333414713541667,0.47017415364583337,0.1258951822916667,0.42529296875,0.1998291015625,0.5740966796875
32,566,14,10,0.13273111979166666,0.5440266927083334,0.492919921875,0.0,0.20703125,0.234619140625,0.15315755208333337,0.5948079427083334,0.20426432291666674,0.6183268229166667,0.25830078125,0.7275390625
62,596,14,10,0.17097981770833334,0.4780680338541667,0.5238037109375,0.1883544921875,0.16019694010416666,0.156005859375,0.13370768229166669,0.44991048177083337,0.1468912760416667,0.46728515625,0.179443359375,0.491455078125
99,633,14,10,0.17378743489583334,0.4318033854166667,0.54833984375,0.0,0.2573649088541667,0.28466796875,0.11718749999999994,0.6592203776041666,0.0006510416666666852,0.515380859375,0.263671875,0.8330078125
6,540,14,11,0.10237630208333333,0.5302937825520834,0.30859375,0.14453125,0.039784749348958336,0.05194091796875,0.16643269856770834,0.2581583658854167,0.38813273111979174,0.46770222981770837,0.11212158203125,0.21600341796875
32,566,14,11,0.046407063802083336,0.5714111328125,0.4049072265625,0.0198974609375,0.10711669921875,0.13916015625,0.2513834635416667,0.4976603190104167,0.41788736979166663,0.6321207682291666,0.245849609375,0.524169921875
32,566,15,0,0.049296061197916664,0.4607493082682292,0.24072265625,0.0203857421875,0.053105672200520836,0.2193603515625,0.1383209228515625,0.41078694661458337,0.3583475748697917,0.4645589192708333,0.0009765625,0.439697265625
32,566,15,7,0.01418304443359375,0.5825093587239584,0.4827880859375,0.14404296875,0.024401346842447918,0.0782470703125,0.36021931966145837,0.4628677368164063,0.5439249674479167,0.5927276611328125,0.260498046875,0.4169921875
32,566,15,8,0.1180419921875,0.5513102213541666,0.56787109375,0.02978515625,0.24747721354166666,0.298828125,0.20235188802083334,0.7486572265625,0.18579101562499997,0.6807454427083333,0.2392578125,0.8369140625
32,566,16,13,0.11090087890625,0.3727823893229167,0.5899658203125,0.0263671875,0.0887451171875,0.1258544921875,0.22056070963541669,0.4351603190104167,0.17313639322916669,0.3506266276041667,0.437744140625,0.689453125
32,566,16,14,0.013092041015625,0.3007609049479167,0.612548828125,0.037353515625,0.059193929036458336,0.12646484375,0.13694254557291669,0.322601318359375,0.22847493489583334,0.34686279296875,0.44873046875,0.70166015625
32,566,16,22,0.011952718098958334,0.6096649169921875,0.50439453125,0.24072265625,0.029749552408854168,0.17822265625,0.1907196044921875,0.3986918131510417,0.567962646484375,0.6274617513020833,0.08544921875,0.44189453125
67,601,16,22,0.0317535400390625,0.5465087890625,0.67919921875,0.0,0.045110066731770836,0.19189453125,0.3546142578125,0.5916188557942709,0.4696451822916667,0.5598653157552084,0.4873046875,0.87109375
80,614,16,22,0.125,0.5244547526041666,0.787353515625,0.0,0.1119384765625,0.18505859375,0.33939615885416663,0.6363932291666666,0.28751627604166663,0.5113932291666666,0.602294921875,0.972412109375
96,630,16,22,0.10515340169270833,0.5152994791666666,0.629638671875,0.21484375,0.185211181640625,0.095458984375,0.20499674479166663,0.48566691080729163,0.22493489583333331,0.5953572591145833,0.3193359375,0.51025390625
99,633,16,22,0.2688191731770833,0.34197998046875,0.831298828125,0.0592041015625,0.0599365234375,0.1094970703125,0.17327880859375,0.34271240234375,0.013224283854166685,0.13309733072916669,0.66259765625,0.881591796875
103,637,16,22,0.011288960774739584,0.61273193359375,0.7939453125,0.042724609375,0.06738535563151042,0.116455078125,0.45355224609375,0.6373926798502604,0.5340576171875,0.6688283284505208,0.634765625,0.86767578125
108,642,16,22,0.0177154541015625,0.6669871012369791,0.496337890625,0.18017578125,0.038930257161458336,0.220947265625,0.26586405436197913,0.5257415771484375,0.6103413899739583,0.688201904296875,0.09521484375,0.537109375
6,540,17,4,0.134368896484375,0.4905598958333333,0.40716552734375,0.1728515625,0.15477498372395834,0.19146728515625,0.11802164713541666,0.464263916015625,0.20141601562499997,0.5109659830729166,0.0428466796875,0.42578125
32,566,17,20,0.037882486979166664,0.2857666015625,0.287353515625,0.0455322265625,0.143798828125,0.1170654296875,0.10567220052083334,0.36653645833333337,0.10408528645833334,0.39168294270833337,0.124755859375,0.35888671875
32,566,18,7,0.04339599609375,0.4627176920572917,0.550384521484375,0.147705078125,0.042063395182291664,0.032379150390625,0.2826334635416667,0.35707600911458337,0.37725830078125,0.46138509114583337,0.37030029296875,0.43505859375
80,614,18,30,0.09749348958333333,0.33498573303222656,0.8182373046875,0.082763671875,0.09250450134277344,0.0989990234375,0.15322303771972656,0.3447265625,0.1449877421061198,0.3299967447916667,0.636474609375,0.83447265625
5,539,20,3,0.11183675130208333,0.377685546875,0.8040771484375,0.041748046875,0.22694905598958334,0.0491943359375,0.2867431640625,0.5628865559895834,0.03889973958333334,0.4927978515625,0.713134765625,0.8115234375
57,591,20,3,0.112152099609375,0.3581339518229167,0.52734375,0.033447265625,0.196380615234375,0.116943359375,0.20774332682291669,0.5210673014322917,0.049601236979166685,0.4423624674479167,0.376953125,0.61083984375
5,539,22,19,0.07362874348958333,0.3919270833333333,0.517578125,0.155029296875,0.10190836588541667,0.075439453125,0.16145833333333331,0.33880615234375,0.21638997395833331,0.4202067057291667,0.287109375,0.43798828125
109,643,24,21,0.042521158854166664,0.3057098388671875,0.3045654296875,0.01971435546875,0.0840606689453125,0.17767333984375,0.1083221435546875,0.37005615234375,0.17912801106770831,0.3472493489583333,0.107177734375,0.4625244140625
52,586,26,3,0.21332804361979166,0.4121907552083333,0.601470947265625,0.15863037109375,0.110809326171875,0.098297119140625,0.15526326497395831,0.3643697102864583,0.08805338541666666,0.30967203776041663,0.34454345703125,0.5411376953125
62,596,26,3,0.196533203125,0.3458251953125,0.4913330078125,0.069091796875,0.1070556640625,0.1739501953125,0.102783203125,0.3837890625,0.042236328125,0.25634765625,0.248291015625,0.59619140625
