target,query,layer,head,old_before,local_before,old_now,local_now,missing_before,missing_now,shift_low,shift_high,before_margin_low,before_margin_high,after_margin_low,after_margin_high
29,563,0,1,0.20206705729166666,0.5516764322916666,0.840087890625,0.02301025390625,0.191009521484375,0.13690185546875,0.39176432291666663,0.7196756998697916,0.158599853515625,0.540618896484375,0.68017578125,0.9539794921875
64,598,0,1,0.13221232096354166,0.5331624348958334,0.5869140625,0.04443359375,0.280548095703125,0.36865234375,0.12007649739583337,0.7692769368489584,0.12040201822916674,0.6814982096354167,0.173828125,0.9111328125
29,563,2,0,0.0063934326171875,0.3017425537109375,0.19244384765625,0.0089111328125,0.034311930338541664,0.06817626953125,0.15173848470052084,0.2542266845703125,0.2610371907552083,0.3296610514322917,0.1153564453125,0.251708984375
65,599,2,13,0.047054290771484375,0.24588648478190103,0.5351943969726562,0.0,0.034533182779947914,0.01949310302734375,0.22639338175455728,0.28041966756184894,0.16429901123046875,0.23336537679036456,0.5157012939453125,0.5546875
64,598,5,12,0.005391438802083333,0.24700927734375,0.3658447265625,0.0,0.0457763671875,0.1263427734375,0.12066650390625,0.29278564453125,0.19584147135416666,0.28739420572916663,0.239501953125,0.4921875
108,642,5,13,0.0030543009440104165,0.23952229817708334,0.137451171875,0.0352783203125,0.02695465087890625,0.1007080078125,0.10353597005208334,0.2311986287434896,0.20951334635416669,0.2634226481119792,0.00146484375,0.202880859375
35,569,6,19,0.04766845703125,0.3235270182291667,0.268310546875,0.0185546875,0.10406494140625,0.125244140625,0.1165771484375,0.34588623046875,0.17179361979166669,0.3799235026041667,0.12451171875,0.375
29,563,7,2,0.0,0.6332600911458334,0.22265625,0.0787353515625,0.048380533854166664,0.1165771484375,0.17427571614583334,0.3392333984375,0.5848795572916667,0.681640625,0.02734375,0.260498046875
108,642,7,2,0.00128173828125,0.6104532877604166,0.1795654296875,0.05194091796875,0.027587890625,0.12396240234375,0.15069580078125,0.30224609375,0.5815836588541666,0.6367594401041666,0.003662109375,0.2515869140625
29,563,7,12,0.047932942708333336,0.435791015625,0.45849609375,0.044189453125,0.169921875,0.274658203125,0.116943359375,0.5615234375,0.21793619791666669,0.5577799479166667,0.1396484375,0.68896484375
16,550,7,17,0.034169514973958336,0.3830769856770833,0.3839111328125,0.03094482421875,0.06908162434895833,0.24530029296875,0.10683186848958331,0.42121378580729163,0.2798258463541667,0.4179890950520833,0.107666015625,0.5982666015625
29,563,7,19,0.003448486328125,0.3144327799479167,0.2232666015625,0.0,0.09162394205729167,0.1634521484375,0.12819417317708331,0.383270263671875,0.2193603515625,0.40260823567708337,0.059814453125,0.38671875
60,594,8,13,0.039235432942708336,0.4541219075520833,0.658447265625,0.058837890625,0.195770263671875,0.228271484375,0.16701253255208331,0.5910542805989583,0.2191162109375,0.61065673828125,0.371337890625,0.827880859375
29,563,8,22,0.0068359375,0.4981486002604167,0.390625,0.120361328125,0.09657796223958333,0.190185546875,0.18760172526041669,0.474365234375,0.39473470052083337,0.587890625,0.080078125,0.46044921875
35,569,8,22,0.026087443033854168,0.4278157552083333,0.459716796875,0.07080078125,0.08581034342447917,0.227294921875,0.12972005208333331,0.4428253173828125,0.31591796874999994,0.4875386555989583,0.16162109375,0.6162109375
44,578,8,22,0.037699381510416664,0.35247802734375,0.20928955078125,0.108154296875,0.056437174479166664,0.06927490234375,0.11515299479166669,0.24086507161458334,0.25834147135416663,0.3712158203125,0.0318603515625,0.17041015625
60,594,8,22,0.07344563802083333,0.3867594401041667,0.594970703125,0.0,0.153076171875,0.230224609375,0.15653483072916669,0.5398356119791667,0.16023763020833337,0.46638997395833337,0.36474609375,0.8251953125
108,642,8,22,0.019582112630208332,0.500732421875,0.394775390625,0.0849609375,0.096221923828125,0.227294921875,0.1884765625,0.511993408203125,0.3849283854166667,0.5773722330729167,0.08251953125,0.537109375
