case_id,source_id,side,event,selection,unit,layer,head,receiver,sources,capture_residual,source_group,entry_sham_error,state_sham_error,relay_sham_error,joint_sham_error,dose,relay_dose,full,removed,support,sham_error,numeric_ok,relay_status,without_relay,without_both,entry_conditional,relay_support,relay_conditional,interaction,restored_state,restored_state_blocked,restoration_identity_error,blocked_identity_error,restoration_gain,blocked_restoration_gain,gate_difference,restored_relay,relay_restoration_gain,delta_sequence_margin,delta_next_margin,delta_tail_margin,delta_mean_margin
14315_headwear_scope,14315,supported,0,lookback_target_flow,event_0_selected_edge,30,7,465,[0],True,selected_edge,0.0,0.0,0.0,0.0,0.25,1.0,7.643988308470591,7.618576998760403,0.0254113097101882,0.0,True,planned,7.544966396849496,7.546008105327787,-0.0010417084782909,0.0990219116210955,0.0725688934326163,0.0264530181884792,7.643988308470591,7.544966396849496,0.0,0.0,0.0254113097101882,-0.0010417084782909,0.0264530181884792,7.612631793071927,-0.0059452056884765,0.025411309710188235,0.020887374877929688,0.004523934832258547,0.002391093423055546
14315_headwear_scope,14315,supported,0,lookback_target_flow,event_0_selected_edge,30,7,465,[0],True,selected_edge,0.0,0.0,0.0,0.0,1.0,1.0,7.643988308470591,7.618654516277795,0.0253337921927965,0.0,True,planned,7.544966396849496,7.549644735394004,-0.0046783385445081,0.0990219116210955,0.0690097808837908,0.0300121307373046,7.643988308470591,7.544966396849496,0.0,0.0,0.0253337921927965,-0.0046783385445081,0.0300121307373046,7.638887670574667,0.0202331542968723,0.025333792192796523,0.023693084716796875,0.0016407074759996476,0.002304362231294377
14315_headwear_scope,14315,supported,0,lookback_target_flow,event_0_scope,30,7,465,"[249, 250, 251, 252, 253, 254]",True,scope,0.0,0.0,0.0,0.0,0.25,1.0,7.643988308470591,7.643988308470591,0.0,0.0,True,planned,7.544966396849496,7.544966396849496,0.0,0.0990219116210955,0.0990219116210955,0.0,7.643988308470591,7.544966396849496,0.0,0.0,0.0,0.0,0.0,7.643988308470591,0.0,0.0,0.0,0.0,0.0
14315_headwear_scope,14315,supported,0,lookback_target_flow,event_0_scope,30,7,465,"[249, 250, 251, 252, 253, 254]",True,scope,0.0,0.0,0.0,0.0,1.0,1.0,7.643988308470591,7.6303687371068545,0.013619571363737,0.0,True,planned,7.544966396849496,7.556062249069743,-0.0110958522202473,0.0990219116210955,0.0743064880371111,0.0247154235839843,7.643988308470591,7.544966396849496,0.0,0.0,0.013619571363737,-0.0110958522202473,0.0247154235839843,7.629107979660564,-0.0012607574462908,0.013619571363737037,0.01605224609375,-0.0024326747300129625,0.001304462013459795
14315_headwear_scope,14315,supported,0,lookback_target_flow,event_0_supported_value,30,7,465,"[376, 377, 378, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393]",True,supported_value,0.0,0.0,0.0,0.0,0.25,1.0,7.643988308470591,7.643463744627946,0.0005245638426449,0.0,True,planned,7.544966396849496,7.544441833006852,0.000524563842644,0.0990219116210955,0.0990219116210946,8.881784197001252e-16,7.643988308470591,7.544966396849496,0.0,0.0,0.0005245638426449,0.000524563842644,8.881784197001252e-16,7.643463744627946,0.0,0.0005245638426449872,0.0,0.0005245638426449872,0.00011573481828563992
14315_headwear_scope,14315,supported,0,lookback_target_flow,event_0_supported_value,30,7,465,"[376, 377, 378, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393]",True,supported_value,0.0,0.0,0.0,0.0,1.0,1.0,7.643988308470591,7.629266102486962,0.0147222059836291,0.0,True,planned,7.544966396849496,7.563517887765282,-0.0185514909157857,0.0990219116210955,0.0657482147216805,0.0332736968994149,7.643988308470591,7.544966396849496,0.0,0.0,0.0147222059836291,-0.0185514909157857,0.0332736968994149,7.622727711373681,-0.0065383911132812,0.014722205983629166,0.025150299072265625,-0.010428093088636459,0.0014093690418598426
14315_headwear_scope,14315,supported,0,lookback_target_flow,event_0_value_source,30,7,465,"[255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266]",True,value_source,0.0,0.0,0.0,0.0,0.25,1.0,7.643988308470591,7.64004833934946,0.0039399691211317,0.0,True,planned,7.544966396849496,7.541026427728365,0.0039399691211308,0.0990219116210955,0.0990219116210946,8.881784197001252e-16,7.643988308470591,7.544966396849496,0.0,0.0,0.0039399691211317,0.0039399691211308,8.881784197001252e-16,7.64004833934946,0.0,0.003939969121131703,0.0,0.003939969121131703,0.00042622620723897775
14315_headwear_scope,14315,supported,0,lookback_target_flow,event_0_value_source,30,7,465,"[255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266]",True,value_source,0.0,0.0,0.0,0.0,1.0,1.0,7.643988308470591,7.641442940082268,0.0025453683883238,0.0,True,planned,7.544966396849496,7.557330772723866,-0.0123643758743696,0.0990219116210955,0.0841121673584019,0.0149097442626935,7.643988308470591,7.544966396849496,0.0,0.0,0.0025453683883238,-0.0123643758743696,0.0149097442626935,7.6495033954045315,0.0080604553222638,0.0025453683883238654,0.012842178344726562,-0.010296809956402697,0.0003016780584559342
14315_headwear_scope,14315,supported,0,lookback_target_flow,event_0_scope_and_value,30,7,465,"[249, 250, 251, 252, 253, 254, 376, 377, 378, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393]",True,scope_and_value,0.0,0.0,0.0,0.0,0.25,1.0,7.643988308470591,7.606077470893882,0.0379108375767094,0.0,True,planned,7.544966396849496,7.548267641181967,-0.0033012443324711,0.0990219116210955,0.0578098297119149,0.0412120819091805,7.643988308470591,7.544966396849496,0.0,0.0,0.0379108375767094,-0.0033012443324711,0.0412120819091805,7.605034151191732,-0.0010433197021502,0.03791083757670943,0.036617279052734375,0.001293558523975058,0.0035375842419408388
14315_headwear_scope,14315,supported,0,lookback_target_flow,event_0_scope_and_value,30,7,465,"[249, 250, 251, 252, 253, 254, 376, 377, 378, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393]",True,scope_and_value,0.0,0.0,0.0,0.0,1.0,1.0,7.643988308470591,7.627045893986284,0.0169424144843075,0.0,True,planned,7.544966396849496,7.557273173649369,-0.012306776799873,0.0990219116210955,0.0697727203369149,0.0292491912841805,7.643988308470591,7.544966396849496,0.0,0.0,0.0169424144843075,-0.012306776799873,0.0292491912841805,7.631383204777299,0.0043373107910147,0.016942414484307555,0.019329071044921875,-0.0023866565606143197,0.00159327153014166
