case_id,source_id,side,event,seed,full,changed,support,control
14315_headwear_scope,14315,supported,0,0,7.643988308470591,7.644301383461883,-0.0003130749912916,equal_norm_random_direction
14315_headwear_scope,14315,supported,0,1,7.643988308470591,7.612998134392481,0.0309901740781102,equal_norm_random_direction
14315_headwear_scope,14315,supported,1,0,7.643988308470591,7.623138895885176,0.0208494125854157,equal_norm_random_direction
14315_headwear_scope,14315,supported,1,1,7.643988308470591,7.613476117326058,0.0305121911445338,equal_norm_random_direction
14315_headwear_scope,14315,supported,2,0,7.643988308470591,7.614248691790641,0.0297396166799508,equal_norm_random_direction
14315_headwear_scope,14315,supported,2,1,7.643988308470591,7.626880550461575,0.0171077580090166,equal_norm_random_direction
14315_headwear_scope,14315,supported,3,0,7.643988308470591,7.621958431761605,0.0220298767089861,equal_norm_random_direction
14315_headwear_scope,14315,supported,3,1,7.643988308470591,7.609459576170787,0.0345287322998046,equal_norm_random_direction
14315_headwear_scope,14315,unsupported,0,0,-4.697483304481864,-4.703464483653366,0.0059811791715018,equal_norm_random_direction
14315_headwear_scope,14315,unsupported,0,1,-4.697483304481864,-4.695681814346909,-0.0018014901349552,equal_norm_random_direction
14315_headwear_scope,14315,unsupported,1,0,-4.697483304481864,-4.705804576760455,0.0083212722785912,equal_norm_random_direction
14315_headwear_scope,14315,unsupported,1,1,-4.697483304481864,-4.704225034721386,0.006741730239522,equal_norm_random_direction
14315_headwear_scope,14315,unsupported,2,0,-4.697483304481864,-4.713421546112602,0.0159382416307378,equal_norm_random_direction
14315_headwear_scope,14315,unsupported,2,1,-4.697483304481864,-4.716198219820096,0.0187149153382319,equal_norm_random_direction
14315_headwear_scope,14315,unsupported,3,0,-4.697483304481864,-4.7209456000140895,0.0234622955322256,equal_norm_random_direction
14315_headwear_scope,14315,unsupported,3,1,-4.697483304481864,-4.732197049599051,0.0347137451171875,equal_norm_random_direction
14375_onion_stage,14375,supported,0,0,6.077786245542399,6.081932754057639,-0.0041465085152401,equal_norm_random_direction
14375_onion_stage,14375,supported,0,1,6.077786245542399,6.076532442434762,0.0012538031076365,equal_norm_random_direction
14375_onion_stage,14375,supported,1,0,6.077786245542399,6.077017742887342,0.0007685026550561,equal_norm_random_direction
14375_onion_stage,14375,supported,1,1,6.077786245542399,6.0786517636448005,-0.0008655181024019,equal_norm_random_direction
14375_onion_stage,14375,supported,2,0,6.077786245542399,6.069517290369079,0.0082689551733192,equal_norm_random_direction
14375_onion_stage,14375,supported,2,1,6.077786245542399,6.079803240898396,-0.0020169953559978,equal_norm_random_direction
14375_onion_stage,14375,supported,3,0,6.077786245542399,6.08741644878947,-0.0096302032470712,equal_norm_random_direction
14375_onion_stage,14375,supported,3,1,6.077786245542399,6.071617880063884,0.0061683654785147,equal_norm_random_direction
14375_onion_stage,14375,unsupported,0,0,0.0745809072025318,0.0672370759719229,0.0073438312306088,equal_norm_random_direction
14375_onion_stage,14375,unsupported,0,1,0.0745809072025318,0.0872796494730674,-0.0126987422705355,equal_norm_random_direction
14375_onion_stage,14375,unsupported,1,0,0.0745809072025318,0.0726401423932818,0.0019407648092499,equal_norm_random_direction
14375_onion_stage,14375,unsupported,1,1,0.0745809072025318,0.0773852419701239,-0.0028043347675921,equal_norm_random_direction
14375_onion_stage,14375,unsupported,2,0,0.0745809072025318,0.0540322870940279,0.0205486201085038,equal_norm_random_direction
14375_onion_stage,14375,unsupported,2,1,0.0745809072025318,0.0810156582485066,-0.0064347510459747,equal_norm_random_direction
14375_onion_stage,14375,unsupported,3,0,0.0745809072025318,0.0754315846927662,-0.0008506774902343,equal_norm_random_direction
14375_onion_stage,14375,unsupported,3,1,0.0745809072025318,0.0700738423831963,0.0045070648193354,equal_norm_random_direction
