case_id,source_id,side,world,next_top1_changed,sequence_margin,next_margin,tail_margin,mean_margin
14315_headwear_scope,14315,supported,event_2_value_source_0.25_restore_relay,False,7.6439883084705915,6.411663055419922,1.2323252530506696,0.6663754242791164
14315_headwear_scope,14315,supported,event_0_value_source_0.25_restore_state_blocked,False,7.544966396849496,6.312641143798828,1.2323252530506679,0.6572792366758884
14315_headwear_scope,14315,supported,event_2_scope_and_value_1_restore_relay,False,7.6400887190811835,6.405534744262695,1.2345539748184882,0.6660134177587184
14315_headwear_scope,14315,supported,event_2_value_source_1_cut_both,False,7.524055752931412,6.299465179443359,1.2245905734880527,0.6553050782117205
14315_headwear_scope,14315,supported,event_1_scope_0.25_restore_state,False,7.6439883084705915,6.411663055419922,1.2323252530506696,0.6663754242791164
14315_headwear_scope,14315,supported,event_1_supported_value_0.25_restore_relay,False,7.639650245453405,6.404865264892578,1.2347849805608266,0.6659572211562421
14315_headwear_scope,14315,supported,event_2_selected_edge_0.25_restore_state,False,7.6439883084705915,6.411663055419922,1.2323252530506696,0.6663754242791164
14315_headwear_scope,14315,supported,event_0_supported_value_1_cut_both,False,7.563517887765282,6.320764541625977,1.2427533461393052,0.6589249361523823
14315_headwear_scope,14315,supported,event_1_selected_edge_joint_sham,False,7.6439883084705915,6.411663055419922,1.2323252530506696,0.6663754242791164
14315_headwear_scope,14315,supported,event_1_scope_and_value_0.25_restore_state_blocked,False,7.631159481566293,6.398834228515625,1.2323252530506679,0.6652059276514456
14315_headwear_scope,14315,supported,event_0_selected_edge_random_1,False,7.612998134392481,6.3897705078125,1.2232276265799813,0.6634209298724751
14315_headwear_scope,14315,supported,event_0_scope_0.25_cut_both,False,7.544966396849496,6.312641143798828,1.2323252530506679,0.6572792366758884
14315_headwear_scope,14315,supported,event_0_scope_and_value_1,False,7.627045893986284,6.392333984375,1.234711909611284,0.6647821527489748
14315_headwear_scope,14315,supported,event_0_scope_and_value_0.25_cut_both,False,7.548267641181967,6.317235946655273,1.2310316945266937,0.6575138469844347
14315_headwear_scope,14315,supported,event_1_scope_and_value_sham,False,7.6439883084705915,6.411663055419922,1.2323252530506696,0.6663754242791164
14315_headwear_scope,14315,supported,event_0_supported_value_sham,False,7.6439883084705915,6.411663055419922,1.2323252530506696,0.6663754242791164
14315_headwear_scope,14315,supported,event_2_selected_edge_state_sham,False,7.6439883084705915,6.411663055419922,1.2323252530506696,0.6663754242791164
14315_headwear_scope,14315,supported,event_1_selected_edge_state_sham,False,7.6439883084705915,6.411663055419922,1.2323252530506696,0.6663754242791164
14315_headwear_scope,14315,supported,event_0_scope_0.25_restore_state,False,7.6439883084705915,6.411663055419922,1.2323252530506696,0.6663754242791164
14315_headwear_scope,14315,supported,event_3_supported_value_0.25,False,7.642832455199106,6.4105072021484375,1.2323252530506688,0.6662704925754392
14315_headwear_scope,14315,supported,event_2_supported_value_0.25_cut_both,False,7.544966396849496,6.312641143798828,1.2323252530506679,0.6572792366758884
14315_headwear_scope,14315,supported,event_3_selected_edge_random_1,False,7.609459576170787,6.377134323120117,1.2323252530506696,0.6632126414734174
14315_headwear_scope,14315,supported,event_0_supported_value_1_restore_relay,False,7.622727711373681,6.379974365234375,1.242753346139306,0.6643657883530665
14315_headwear_scope,14315,supported,event_0_value_source_joint_sham,False,7.6439883084705915,6.411663055419922,1.2323252530506696,0.6663754242791164
14315_headwear_scope,14315,supported,event_0_supported_value_joint_sham,False,7.6439883084705915,6.411663055419922,1.2323252530506696,0.6663754242791164
14315_headwear_scope,14315,supported,event_1_selected_edge_1,False,7.646520005418051,6.403512954711914,1.2430070507061366,0.6665644407729903
14315_headwear_scope,14315,supported,event_1_scope_1_restore_state,False,7.6439883084705915,6.411663055419922,1.2323252530506696,0.6663754242791164
14315_headwear_scope,14315,supported,event_0_selected_edge_cut_relay,False,7.544966396849496,6.312641143798828,1.2323252530506679,0.6572792366758884
14315_headwear_scope,14315,supported,event_1_value_source_0.25_restore_state_blocked,False,7.631159481566293,6.398834228515625,1.2323252530506679,0.6652059276514456
14315_headwear_scope,14315,supported,event_1_value_source_0.25_cut_both,False,7.631159481566293,6.398834228515625,1.2323252530506679,0.6652059276514456
14315_headwear_scope,14315,supported,event_2_selected_edge_0.25_restore_state_blocked,False,7.544966396849496,6.312641143798828,1.2323252530506679,0.6572792366758884
