target,query,layer,head,old_before,local_before,old_now,local_now,missing_before,missing_now,shift_low,shift_high,before_margin_low,before_margin_high,after_margin_low,after_margin_high
22,455,6,13,0.0,0.5066935221354166,0.56298828125,0.041748046875,0.09226481119791667,0.35595703125,0.10898844401041663,0.5572102864583333,0.41442871093749994,0.5989583333333333,0.165283203125,0.877197265625
12,445,6,25,0.145263671875,0.3966064453125,0.35479736328125,0.1527099609375,0.0958251953125,0.09796142578125,0.11370849609375,0.3074951171875,0.155517578125,0.34716796875,0.1041259765625,0.300048828125
25,458,7,2,0.0291748046875,0.4037526448567708,0.2642822265625,0.06201171875,0.0703277587890625,0.1697998046875,0.1647796630859375,0.4049072265625,0.3042500813802083,0.4449055989583333,0.032470703125,0.3720703125
22,455,7,10,0.024088541666666668,0.5019938151041666,0.534912109375,0.0,0.18387858072916666,0.37255859375,0.12943522135416663,0.6858723958333333,0.29402669270833326,0.6617838541666666,0.162353515625,0.907470703125
26,459,7,27,0.10686747233072917,0.416351318359375,0.3719482421875,0.09375,0.0799713134765625,0.1456298828125,0.176971435546875,0.4025726318359375,0.22951253255208331,0.3894551595052083,0.132568359375,0.423828125
22,455,8,13,0.007853190104166666,0.5828450520833334,0.58984375,0.14501953125,0.0870361328125,0.171875,0.26595052083333337,0.5248616536458334,0.48795572916666674,0.6620279947916667,0.27294921875,0.61669921875
22,455,9,8,0.060933430989583336,0.40478515625,0.370361328125,0.0,0.12217203776041667,0.265625,0.13916015625,0.5269571940104166,0.2216796875,0.46602376302083337,0.104736328125,0.635986328125
9,442,9,9,0.019449869791666668,0.7003173828125,0.3575439453125,0.236083984375,0.051717122395833336,0.0966796875,0.286376953125,0.4347737630208333,0.629150390625,0.7325846354166667,0.0247802734375,0.2181396484375
22,455,9,9,0.01220703125,0.7997843424479166,0.55078125,0.0201416015625,0.07228597005208333,0.1702880859375,0.4662882486979167,0.7088623046875,0.7152913411458333,0.85986328125,0.3603515625,0.700927734375
22,455,10,9,0.019185384114583332,0.6145833333333334,0.38525390625,0.0,0.12567138671875,0.303955078125,0.24039713541666669,0.6700236002604167,0.4697265625,0.7210693359375,0.081298828125,0.689208984375
