feature,layer,responses,late_minus_onset,paired_dz,expected_direction,direction_supported
ph_mean_death,0,161,0.005456545245573387,0.4516476182231364,0,False
ph_mean_death,1,161,0.0006462544758127342,0.05174208484865722,0,False
ph_mean_death,2,161,0.006108704723001267,0.367010804850417,0,False
ph_mean_death,3,161,0.005362289338748647,0.37933688795111636,0,False
ph_mean_death,4,161,0.00839485649181449,0.5135329920417714,0,False
ph_mean_death,5,161,0.006649311516225708,0.33611103608633686,0,False
ph_mean_death,6,161,0.006294376453997926,0.31481212910966255,0,False
ph_mean_death,7,161,0.008768801826127567,0.5157381923315094,0,False
ph_mean_death,8,161,0.006324075856564208,0.36040234862307685,0,False
ph_mean_death,9,161,0.005916154717806704,0.3437333901052917,0,False
ph_mean_death,10,161,0.00505500180380685,0.2389210835753879,0,False
ph_mean_death,11,161,0.003863795018344192,0.23153827941098923,0,False
ph_mean_death,12,161,0.0068682946773789685,0.5437605948625923,0,False
ph_mean_death,13,161,0.004898787238953276,0.24888455022860526,0,False
ph_mean_death,14,161,0.005010892793258525,0.2343110199529431,0,False
ph_mean_death,15,161,0.0018743794897328253,0.08821267368116545,0,False
ph_mean_death,16,161,0.007411731326061747,0.3528688203300783,0,False
ph_mean_death,17,161,0.003629744932148027,0.16385694210829826,0,False
ph_mean_death,18,161,-0.00030058048526692836,-0.014118701577679301,0,False
ph_mean_death,19,161,0.00731127422233546,0.37905184687587506,0,False
ph_mean_death,20,161,0.002362533848478187,0.09714632628944851,0,False
ph_mean_death,21,161,-0.0015217230556914525,-0.06493055684291073,0,False
ph_mean_death,22,161,0.005923410148724266,0.24688358676043906,0,False
ph_mean_death,23,161,0.004267466225609276,0.2077268554106891,0,False
ph_mean_death,24,161,0.019129687121936252,1.0283225073153819,0,False
ph_mean_death,25,161,0.00431654033083353,0.2954457957470774,0,False
ph_mean_death,26,161,0.007534798026455115,0.35443666313730265,0,False
ph_mean_death,27,161,0.007773618751801319,0.45709587875318325,0,False
ph_mean_death,28,161,0.009357336931717322,0.4713731451720084,0,False
ph_mean_death,29,161,0.010554671611474909,0.8008057017696523,0,False
ph_mean_death,30,161,0.012039306648769734,0.5821703785488936,0,False
ph_mean_death,31,161,0.012972962735972789,0.7595662332788767,0,False
ph_max_death,0,161,0.020462573129938256,0.352052224021318,0,False
ph_max_death,1,161,0.0016771212497853345,0.038774265889659945,0,False
ph_max_death,2,161,0.010456676901497456,0.1799821318879119,0,False
ph_max_death,3,161,-0.02617782539462451,-0.44048059774471615,0,False
ph_max_death,4,161,0.0025665202866429868,0.0389043031960891,0,False
ph_max_death,5,161,0.01787066792849428,0.3725679438408998,0,False
ph_max_death,6,161,0.0015183406772080416,0.02692568570495948,0,False
ph_max_death,7,161,0.009862743549465394,0.2311641977880793,0,False
ph_max_death,8,161,0.00759768245383079,0.14080323007507947,0,False
ph_max_death,9,161,0.020668576592984406,0.5083617095315071,0,False
ph_max_death,10,161,0.00238979899364969,0.04728357437322054,0,False
ph_max_death,11,161,0.01396388278244445,0.3532380028003948,0,False
ph_max_death,12,161,-0.006283745817516161,-0.12684785934787568,0,False
ph_max_death,13,161,0.0033030445161073103,0.06443926832064105,0,False
ph_max_death,14,161,0.027306266638062755,0.5197879136894971,0,False
ph_max_death,15,161,0.004773658625087383,0.09858613043092672,0,False
ph_max_death,16,161,-0.0038501853528230085,-0.05802761679519287,0,False
