family,auroc,auprc,auroc_ci_low,auroc_ci_high,auprc_ci_low,auprc_ci_high,rewired_auroc,rewired_auprc,auroc_drop,auprc_drop
fracture,0.5705303779268536,0.08006559993354978,0.5500264862767832,0.5932603980582903,0.06475631543907694,0.09873250730586489,0.5698545527997301,0.07978479549317105,0.0006758251271234972,0.0002808044403787291
integration,0.5582738464153845,0.07847286840217738,0.5368885012257884,0.5794827022809437,0.06194409361749367,0.09898620464196557,0.5577481607384146,0.07800511933258797,0.000525685676969867,0.0004677490695894071
lockin,0.5227392169212066,0.06313290969973356,0.5059280460151043,0.5400866690720324,0.051454789396842865,0.07644284569851936,0.5072456728422865,0.06066866460731595,0.015493544078920118,0.002464245092417612
all,0.547631033273572,0.06846790363122567,0.5286248958988802,0.5682056304174934,0.0555969738533335,0.08327532445356729,0.5368619151781737,0.0657587170228929,0.010769118095398267,0.0027091866083327615
