feature,layer,responses,onset_minus_pre,paired_dz,expected_direction,direction_supported
ph_persistence_entropy,23,222,0.00489692430238466,0.07507501101237789,1,True
ph_persistence_entropy,24,222,0.014935191687162931,0.2220732195761571,1,True
ph_persistence_entropy,25,222,-0.0002076346595008094,-0.002879620307267972,1,False
ph_persistence_entropy,26,222,-0.009965618451436361,-0.19450892339866446,1,False
ph_persistence_entropy,27,222,0.006866742898752024,0.08489481966994591,1,True
ph_persistence_entropy,28,222,-0.009305621052647496,-0.2341115189187014,1,False
ph_persistence_entropy,29,222,0.0062806982177871845,0.07452918189029001,1,True
ph_persistence_entropy,30,222,-0.003544875093408533,-0.09767428011777954,1,False
ph_persistence_entropy,31,222,-0.007232638092728349,-0.19008284572942233,1,False
ph_largest_gap,0,222,0.010983168340481079,0.1783610138665473,1,True
ph_largest_gap,1,222,0.0033515907891161806,0.0555644179290774,1,True
ph_largest_gap,2,222,0.005243086365160641,0.07867878865080043,1,True
ph_largest_gap,3,222,0.009017582345116246,0.10524952535709142,1,True
ph_largest_gap,4,222,0.01518145324410619,0.16971891560302949,1,True
ph_largest_gap,5,222,0.022651018558053283,0.323155198983527,1,True
ph_largest_gap,6,222,0.026119302152781874,0.33918726419020256,1,True
ph_largest_gap,7,222,0.010187874506185721,0.1812911608056008,1,True
ph_largest_gap,8,222,0.009340898511377541,0.13556320875273506,1,True
ph_largest_gap,9,222,0.0005160109014124484,0.009897636481391548,1,True
ph_largest_gap,10,222,0.017740065483628092,0.2721554942657317,1,True
ph_largest_gap,11,222,-0.006744354963302612,-0.12988831921268265,1,False
ph_largest_gap,12,222,0.001492882298456656,0.017087619302676927,1,True
ph_largest_gap,13,222,0.010018241365213652,0.16259929257939298,1,True
ph_largest_gap,14,222,-0.017443026105562847,-0.30561654879783895,1,False
ph_largest_gap,15,222,-0.01041872191939268,-0.16758154196383945,1,False
ph_largest_gap,16,222,0.01057817129132984,0.16027959469199207,1,True
ph_largest_gap,17,222,-0.0058667775209959565,-0.06353337312010528,1,False
ph_largest_gap,18,222,0.008794837002013181,0.14305862179142112,1,True
ph_largest_gap,19,222,0.014270902015604414,0.19568224401712972,1,True
ph_largest_gap,20,222,0.00547750253935118,0.08281226703518743,1,True
ph_largest_gap,21,222,-0.006296788988349674,-0.09850418597009254,1,False
ph_largest_gap,22,222,0.0019489833833398046,0.028189488126185745,1,True
ph_largest_gap,23,222,0.011860733499398103,0.12590450369967,1,True
ph_largest_gap,24,222,-0.0055996763209501905,-0.06399149435084911,1,False
ph_largest_gap,25,222,-0.003268156502697919,-0.04192002717843936,1,False
ph_largest_gap,26,222,0.008544425639483306,0.133378927617415,1,True
ph_largest_gap,27,222,0.01683426447011329,0.2155286957336727,1,True
ph_largest_gap,28,222,-0.0035705961756878073,-0.05495983466275357,1,False
ph_largest_gap,29,222,-0.002205201869343852,-0.035078619139940925,1,False
ph_largest_gap,30,222,0.003314844290683935,0.05528567919172157,1,True
ph_largest_gap,31,222,0.036399630410177214,0.4414727698862143,1,True
head_route_effective_rank,0,222,-0.048194815446664624,-0.35101875423901124,1,False
head_route_effective_rank,1,222,-0.0932897372288747,-0.37450442942665096,1,False
head_route_effective_rank,2,222,-0.2068017565452301,-0.5670047445327413,1,False
head_route_effective_rank,3,222,-0.12531130593102258,-0.48255029753724654,1,False
head_route_effective_rank,4,222,-0.31692463965029327,-0.7686104349165508,1,False
head_route_effective_rank,5,222,-0.3824927269875466,-0.7181779151546066,1,False
head_route_effective_rank,6,222,-0.3756353661820695,-0.7792219469237043,1,False
head_route_effective_rank,7,222,-0.3352491436777888,-0.6702240624823007,1,False
head_route_effective_rank,8,222,-0.3395845589337048,-0.6115226084170188,1,False
head_route_effective_rank,9,222,-0.31274699198233114,-0.5281237138122219,1,False
head_route_effective_rank,10,222,-0.26835509463473484,-0.47453218917903073,1,False
head_route_effective_rank,11,222,-0.10759000950031453,-0.20032885938715186,1,False
head_route_effective_rank,12,222,-0.274940122355212,-0.5008504417405941,1,False
head_route_effective_rank,13,222,-0.20184138444092897,-0.36440807374931466,1,False
head_route_effective_rank,14,222,-0.12743662606488476,-0.23568613027630173,1,False
head_route_effective_rank,15,222,-0.0889676873748367,-0.19326898517367155,1,False
head_route_effective_rank,16,222,-0.14004444861197257,-0.2717613930964742,1,False
head_route_effective_rank,17,222,-0.131573055241559,-0.28723048176665883,1,False
head_route_effective_rank,18,222,-0.07766411433348784,-0.3006460465801631,1,False
head_route_effective_rank,19,222,-0.0596901747557494,-0.23574245158197643,1,False
head_route_effective_rank,20,222,-0.024878898719409563,-0.07922341490633882,1,False
head_route_effective_rank,21,222,-0.013388571975467441,-0.05411890269788509,1,False
head_route_effective_rank,22,222,-0.15764814830041146,-0.4540774819110343,1,False
head_route_effective_rank,23,222,-0.023276666263202288,-0.08063604746890454,1,False
head_route_effective_rank,24,222,-0.0536304336410385,-0.18422318915128572,1,False
head_route_effective_rank,25,222,-0.03423518908990396,-0.13421435925223293,1,False
head_route_effective_rank,26,222,-0.06559659715171333,-0.2735601177971939,1,False
head_route_effective_rank,27,222,-0.09219500825211809,-0.42616633699686357,1,False
head_route_effective_rank,28,222,-0.06586482073809649,-0.27005859976969543,1,False
head_route_effective_rank,29,222,-0.008167743682861328,-0.03241713815581306,1,False
head_route_effective_rank,30,222,-0.07675609287914929,-0.24872125517716848,1,False
head_route_effective_rank,31,222,-0.06663064430425833,-0.28174056092172245,1,False
head_local_intrinsic_dimension,0,222,-0.10885188493642721,-0.28256566468571503,1,False
head_local_intrinsic_dimension,1,222,0.03416239463531219,0.07883103304959911,1,True
head_local_intrinsic_dimension,2,222,-0.15717515966913723,-0.19183723676305708,1,False
head_local_intrinsic_dimension,3,222,-0.03279706486710557,-0.07473453243298532,1,False
head_local_intrinsic_dimension,4,222,-0.11322387918695673,-0.17809828558763915,1,False
head_local_intrinsic_dimension,5,222,0.011002659797668457,0.029325675096978216,1,True
head_local_intrinsic_dimension,6,222,0.04172093159443623,0.1009331715540471,1,True
head_local_intrinsic_dimension,7,222,0.05995557759259198,0.16021529231554976,1,True
head_local_intrinsic_dimension,8,222,0.06733233005076915,0.1568687332781629,1,True
head_local_intrinsic_dimension,9,222,0.0019750401780412002,0.004394494928089434,1,True
head_local_intrinsic_dimension,10,222,0.023219823837280273,0.05287703405598478,1,True
head_local_intrinsic_dimension,11,222,0.05537607218768146,0.12581392615682577,1,True
head_local_intrinsic_dimension,12,222,-0.09120899922138936,-0.2192284944426687,1,False
head_local_intrinsic_dimension,13,222,-0.019751555210835225,-0.03864921777880258,1,False
head_local_intrinsic_dimension,14,222,-0.09770596779144562,-0.1822630400374656,1,False
head_local_intrinsic_dimension,15,222,-0.09467048150999052,-0.2246306721174494,1,False
head_local_intrinsic_dimension,16,222,-0.00048631805557388443,-0.0011698005163821724,1,False
head_local_intrinsic_dimension,17,222,-0.029259698884981172,-0.062228495966332766,1,False
head_local_intrinsic_dimension,18,222,0.057475773063865865,0.12704588697580824,1,True
head_local_intrinsic_dimension,19,222,0.0923769914352142,0.1401019259638887,1,True
head_local_intrinsic_dimension,20,222,-0.02757420303585293,-0.042946237436207436,1,False
head_local_intrinsic_dimension,21,222,-0.10449203821989866,-0.22830000607195036,1,False
head_local_intrinsic_dimension,22,222,-0.04306815873395215,-0.07946143394000751,1,False
head_local_intrinsic_dimension,23,222,-0.048399420471878736,-0.06818292572906347,1,False
head_local_intrinsic_dimension,24,222,-0.25254104481087075,-0.3385429199645563,1,False
head_local_intrinsic_dimension,25,222,-0.12442285305744893,-0.15523191805000786,1,False
head_local_intrinsic_dimension,26,222,-0.05521260081110774,-0.09520754252174651,1,False
head_local_intrinsic_dimension,27,222,-0.07516509885186548,-0.10422683710986531,1,False
head_local_intrinsic_dimension,28,222,-0.12070551863661758,-0.24493119096417867,1,False
head_local_intrinsic_dimension,29,222,-0.13090269415228217,-0.17683517656095327,1,False
head_local_intrinsic_dimension,30,222,-0.04310228051366033,-0.0955725391665108,1,False
head_local_intrinsic_dimension,31,222,-0.030289130167918163,-0.07212895093913325,1,False
direct_prompt_mean,0,222,-0.00045214405467918325,-0.026358838488190445,0,False
direct_prompt_mean,1,222,0.004585976536209519,0.15101017874220343,0,False
direct_prompt_mean,2,222,0.004577838891261333,0.19338692285259632,0,False
direct_prompt_mean,3,222,0.01064170292905859,0.3983552848262329,0,False
direct_prompt_mean,4,222,0.01832854452433887,0.5136565086307072,0,False
direct_prompt_mean,5,222,0.02396030683775206,0.5296947261942522,0,False
direct_prompt_mean,6,222,0.03604166035179619,0.676197001243435,0,False
direct_prompt_mean,7,222,0.016827961346050642,0.3387106215267338,0,False
direct_prompt_mean,8,222,0.009342686818526671,0.173067582200819,0,False
direct_prompt_mean,9,222,0.008330013032432075,0.1812969348145048,0,False
direct_prompt_mean,10,222,0.016047867568763526,0.3417827056768948,0,False
