feature,layer,anomaly_auroc,anomaly_auprc,raw_auroc,raw_separability,rewired_anomaly_auroc,real_minus_rewired_auroc
ph_largest_gap,13,nan,nan,nan,nan,nan,nan
ph_largest_gap,14,nan,nan,nan,nan,nan,nan
ph_largest_gap,15,nan,nan,nan,nan,nan,nan
ph_largest_gap,16,nan,nan,nan,nan,nan,nan
ph_largest_gap,17,nan,nan,nan,nan,nan,nan
ph_largest_gap,18,nan,nan,nan,nan,nan,nan
ph_largest_gap,19,nan,nan,nan,nan,nan,nan
ph_largest_gap,20,nan,nan,nan,nan,nan,nan
ph_largest_gap,21,nan,nan,nan,nan,nan,nan
ph_largest_gap,22,nan,nan,nan,nan,nan,nan
ph_largest_gap,23,nan,nan,nan,nan,nan,nan
ph_largest_gap,24,nan,nan,nan,nan,nan,nan
ph_largest_gap,25,nan,nan,nan,nan,nan,nan
ph_largest_gap,26,nan,nan,nan,nan,nan,nan
ph_largest_gap,27,nan,nan,nan,nan,nan,nan
ph_largest_gap,28,nan,nan,nan,nan,nan,nan
ph_largest_gap,29,nan,nan,nan,nan,nan,nan
ph_largest_gap,30,nan,nan,nan,nan,nan,nan
ph_largest_gap,31,nan,nan,nan,nan,nan,nan
head_route_effective_rank,0,nan,nan,nan,nan,nan,nan
head_route_effective_rank,1,nan,nan,nan,nan,nan,nan
head_route_effective_rank,2,nan,nan,nan,nan,nan,nan
head_route_effective_rank,3,nan,nan,nan,nan,nan,nan
head_route_effective_rank,4,nan,nan,nan,nan,nan,nan
head_route_effective_rank,5,nan,nan,nan,nan,nan,nan
head_route_effective_rank,6,nan,nan,nan,nan,nan,nan
head_route_effective_rank,7,nan,nan,nan,nan,nan,nan
head_route_effective_rank,8,nan,nan,nan,nan,nan,nan
head_route_effective_rank,9,nan,nan,nan,nan,nan,nan
head_route_effective_rank,10,nan,nan,nan,nan,nan,nan
head_route_effective_rank,11,nan,nan,nan,nan,nan,nan
head_route_effective_rank,12,nan,nan,nan,nan,nan,nan
head_route_effective_rank,13,nan,nan,nan,nan,nan,nan
head_route_effective_rank,14,nan,nan,nan,nan,nan,nan
head_route_effective_rank,15,nan,nan,nan,nan,nan,nan
head_route_effective_rank,16,nan,nan,nan,nan,nan,nan
head_route_effective_rank,17,nan,nan,nan,nan,nan,nan
head_route_effective_rank,18,nan,nan,nan,nan,nan,nan
head_route_effective_rank,19,nan,nan,nan,nan,nan,nan
head_route_effective_rank,20,nan,nan,nan,nan,nan,nan
head_route_effective_rank,21,nan,nan,nan,nan,nan,nan
head_route_effective_rank,22,nan,nan,nan,nan,nan,nan
head_route_effective_rank,23,nan,nan,nan,nan,nan,nan
head_route_effective_rank,24,nan,nan,nan,nan,nan,nan
head_route_effective_rank,25,nan,nan,nan,nan,nan,nan
head_route_effective_rank,26,nan,nan,nan,nan,nan,nan
head_route_effective_rank,27,nan,nan,nan,nan,nan,nan
head_route_effective_rank,28,nan,nan,nan,nan,nan,nan
head_route_effective_rank,29,nan,nan,nan,nan,nan,nan
head_route_effective_rank,30,nan,nan,nan,nan,nan,nan
head_route_effective_rank,31,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,0,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,1,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,2,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,3,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,4,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,5,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,6,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,7,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,8,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,9,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,10,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,11,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,12,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,13,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,14,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,15,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,16,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,17,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,18,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,19,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,20,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,21,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,22,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,23,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,24,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,25,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,26,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,27,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,28,nan,nan,nan,nan,nan,nan
head_local_intrinsic_dimension,29,nan,nan,nan,nan,nan,nan
