family,layer,auroc,auprc,rewired_auroc,rewired_auprc,auroc_drop,auprc_drop
fracture,0,0.5423342175066312,0.03958789468978244,0.5392042440318302,0.039354804582899056,0.00312997347480104,0.00023309010688338239
fracture,1,0.5181432360742706,0.03989200397873146,0.5141114058355438,0.03959817745085269,0.004031830238726775,0.00029382652787877245
fracture,2,0.473368700265252,0.034177771296466916,0.4509283819628647,0.031172168652674866,0.022440318302387297,0.0030056026437920505
fracture,3,0.4440318302387268,0.038039076987168435,0.4437665782493369,0.038002025892398775,0.0002652519893898697,3.705109476966062e-05
fracture,4,0.6155968169761273,0.05228786819140236,0.6149602122015915,0.05215275352301354,0.000636604774535865,0.00013511466838882213
fracture,5,0.5849336870026526,0.05132725470648684,0.5845092838196286,0.051122770330184954,0.00042440318302394697,0.00020448437630188332
fracture,6,0.42493368700265255,0.03214053388542183,0.4250928381962865,0.03225655367356811,-0.00015915119363396624,-0.00011601978814627933
fracture,7,0.4624933687002653,0.031911351977510174,0.4627055702917773,0.03190624205004198,-0.00021220159151197349,5.109927468195663e-06
fracture,8,0.6407427055702917,0.04982256981065007,0.6461007957559681,0.05043365136974162,-0.005358090185676456,-0.0006110815590915503
fracture,9,0.5372413793103449,0.04307460477044178,0.5373474801061008,0.043221472753510126,-0.00010610079575590348,-0.00014686798306834392
fracture,10,0.6193633952254642,0.04880706156409188,0.6196286472148541,0.048177045888282935,-0.0002652519893898697,0.0006300156758089481
fracture,11,0.6080106100795756,0.04625137434348527,0.6047745358090186,0.0458614948585324,0.0032360742705569434,0.0003898794849528722
fracture,12,0.6161273209549072,0.04778906528260952,0.6090716180371352,0.04711075678069654,0.007055702917772022,0.0006783085019129789
fracture,13,0.5712466843501327,0.053200804320341494,0.5804244031830239,0.05606640322388784,-0.009177718832891202,-0.002865598903546346
fracture,14,0.46312997347480106,0.03238365926727456,0.4593633952254642,0.03223556321125253,0.0037665782493368494,0.00014809605602202763
