family,offset,tokens,mean_score,standard_error
all,-4,3,1.0199057658513386,0.05214824758841156
all,-3,3,1.1229065855344136,0.11426513472865388
all,-2,3,1.2291599313418071,0.21566050518375537
all,-1,3,1.0861546993255615,0.21003496153913254
all,0,3,0.8223624030749003,0.0490378697837764
all,1,3,1.0423834323883057,0.024091702926071063
all,2,3,0.9487621982892355,0.06060663380735107
all,3,3,0.909588634967804,0.05795794256816018
all,4,3,1.2735193570454915,0.09320120357776085
fracture,-4,3,1.1627474029858906,0.08918376690612588
fracture,-3,3,1.3621118466059368,0.103299482229113
fracture,-2,3,1.5845588048299153,0.44322415336612286
fracture,-1,3,1.486795465151469,0.39985592677956766
fracture,0,3,1.0332358479499817,0.044441006025635096
fracture,1,3,1.292014241218567,0.10645366984398676
fracture,2,3,1.185793161392212,0.057767849816175
fracture,3,3,1.114522933959961,0.1259330339876959
fracture,4,3,1.373660405476888,0.07529517293515912
integration,-4,3,0.8749081492424011,0.038699260672201134
integration,-3,3,0.9489539265632629,0.18602349557017148
integration,-2,3,0.8420801162719727,0.09300515295256455
integration,-1,3,0.7353693842887878,0.07968264302748342
integration,0,3,0.6545976003011068,0.08494793428607823
integration,1,3,0.8326356808344523,0.02207454213259994
integration,2,3,0.8215882380803426,0.11587884739037044
integration,3,3,0.6774388949076334,0.09053997727279361
integration,4,3,1.01714026927948,0.06354965665214511
lockin,-4,3,1.016592005888621,0.04325034364730659
lockin,-3,3,1.0192418098449707,0.06317989859127134
lockin,-2,3,1.0744866728782654,0.17522076630791317
lockin,-1,3,0.8842585881551107,0.06258344782328554
lockin,0,3,0.7323917349179586,0.08901725527806814
lockin,1,3,0.9403655529022217,0.11373553574795815
lockin,2,3,0.7921642661094666,0.029201725803709205
lockin,3,3,0.8824010094006857,0.06044033430705227
lockin,4,3,1.3810372352600098,0.23924688725754079
