layer,head,selection,unit,receiver,source_group,dose,full,cut,support,sham_error,numeric_ok,readout,control,case_id,source_id,side,phase,position,seed
17,27,paired_gradient,L17H27_query_self,468,query_self,1.0,7.643988308470591,7.615809365656862,0.0281789428137297,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
17,27,paired_gradient,L17H27_prior_history,468,prior_history,0.25,7.643988308470591,7.668630025523583,-0.024641717052992,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
17,27,paired_gradient,L17H27_prior_history,468,prior_history,1.0,7.643988308470591,7.514973593417393,0.1290147150531986,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
17,27,paired_gradient,L17H27_head_total,468,head_total,0.25,7.643988308470591,7.288523007032357,0.3554653014382349,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
17,27,paired_gradient,L17H27_head_total,468,head_total,1.0,7.643988308470591,6.503059951192078,1.1409283572785132,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
17,27,paired_gradient,L17H27_head_total,468,head_total,1.0,7.643988308470591,8.026378731131704,-0.3823904226611123,0.0,True,sequence_margin,equal_norm_random,14315_headwear_scope,14315,supported,onset,35,1
18,20,paired_gradient,L18H20_evidence,468,evidence,0.25,7.643988308470591,7.521241878570063,0.1227464299005287,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
18,20,paired_gradient,L18H20_evidence,468,evidence,1.0,7.643988308470591,7.198581153852009,0.4454071546185822,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
18,20,paired_gradient,L18H20_inapplicable_source,468,inapplicable_source,0.25,7.643988308470591,7.703860211679297,-0.0598719032087053,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
18,20,paired_gradient,L18H20_inapplicable_source,468,inapplicable_source,1.0,7.643988308470591,7.940584282787615,-0.2965959743170234,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
18,20,paired_gradient,L18H20_history,468,history,0.25,7.643988308470591,7.574251498800786,0.0697368096698056,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
18,20,paired_gradient,L18H20_history,468,history,1.0,7.643988308470591,7.575262272732913,0.0687260357376784,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
18,20,paired_gradient,L18H20_query_self,468,query_self,0.25,7.643988308470591,7.637537869366202,0.0064504391043893,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
18,20,paired_gradient,L18H20_query_self,468,query_self,1.0,7.643988308470591,7.612687479278503,0.0313008291920882,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
18,20,paired_gradient,L18H20_prior_history,468,prior_history,0.25,7.643988308470591,7.676067968106789,-0.0320796596361976,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
18,20,paired_gradient,L18H20_prior_history,468,prior_history,1.0,7.643988308470591,7.639625054013437,0.0043632544571545,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
18,20,paired_gradient,L18H20_head_total,468,head_total,0.25,7.643988308470591,7.627736888292579,0.0162514201780128,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
18,20,paired_gradient,L18H20_head_total,468,head_total,1.0,7.643988308470591,7.237811019163317,0.4061772893072746,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
18,20,paired_gradient,L18H20_head_total,468,head_total,1.0,7.643988308470591,8.037259249571896,-0.3932709411013046,0.0,True,sequence_margin,equal_norm_random,14315_headwear_scope,14315,supported,onset,35,1
27,6,model_head_control,L27H6_evidence,468,evidence,0.25,7.643988308470591,7.602251600234196,0.041736708236395,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
27,6,model_head_control,L27H6_evidence,468,evidence,1.0,7.643988308470591,7.559405280395095,0.0845830280754968,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
27,6,model_head_control,L27H6_inapplicable_source,468,inapplicable_source,0.25,7.643988308470591,7.563467787758367,0.0805205207122243,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
27,6,model_head_control,L27H6_inapplicable_source,468,inapplicable_source,1.0,7.643988308470591,7.577731296141883,0.0662570123287089,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
27,6,model_head_control,L27H6_history,468,history,0.25,7.643988308470591,7.631178247466162,0.0128100610044299,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
27,6,model_head_control,L27H6_history,468,history,1.0,7.643988308470591,7.563503619345046,0.0804846891255453,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
27,6,model_head_control,L27H6_query_self,468,query_self,0.25,7.643988308470591,7.594924332650639,0.0490639758199522,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
27,6,model_head_control,L27H6_query_self,468,query_self,1.0,7.643988308470591,7.578415287261004,0.0655730212095875,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
27,6,model_head_control,L27H6_prior_history,468,prior_history,0.25,7.643988308470591,7.556806223167221,0.08718208530337,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
27,6,model_head_control,L27H6_prior_history,468,prior_history,1.0,7.643988308470591,7.59450375504878,0.0494845534218111,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
27,6,model_head_control,L27H6_head_total,468,head_total,0.25,7.643988308470591,7.565431681480884,0.0785566269897071,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
27,6,model_head_control,L27H6_head_total,468,head_total,1.0,7.643988308470591,7.618918456027145,0.0250698524434467,0.0,True,sequence_margin,,14315_headwear_scope,14315,supported,onset,35,1
27,6,model_head_control,L27H6_head_total,468,head_total,1.0,7.643988308470591,7.678475678189561,-0.0344873697189695,0.0,True,sequence_margin,equal_norm_random,14315_headwear_scope,14315,supported,onset,35,1
18,22,paired_gradient,L18H22_evidence,468,evidence,0.25,-4.697483304481864,-4.602877014102043,-0.0946062903798203,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
18,22,paired_gradient,L18H22_evidence,468,evidence,1.0,-4.697483304481864,-4.166751707024309,-0.5307315974575548,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
18,22,paired_gradient,L18H22_inapplicable_source,468,inapplicable_source,0.25,-4.697483304481864,-4.763585751800901,0.0661024473190368,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
18,22,paired_gradient,L18H22_inapplicable_source,468,inapplicable_source,1.0,-4.697483304481864,-4.941096418809217,0.2436131143273527,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
18,22,paired_gradient,L18H22_history,468,history,0.25,-4.697483304481864,-4.725063879411906,0.0275805749300426,0.0,True,sequence_margin,,14315_headwear_scope,14315,unsupported,onset,35,2
