family,layer,auroc,auprc,rewired_auroc,rewired_auprc,auroc_drop,auprc_drop
access,0,0.5059276759938724,0.06617107878543799,0.5620505665201698,0.0738921040019733,-0.056122890526297375,-0.00772102521653531
access,1,0.4959828193395972,0.06029408125198064,0.4945202644973584,0.06030103410072289,0.0014625548422387835,-6.952848742254603e-06
access,2,0.48869539300102,0.056377656156574106,0.48127049879619954,0.05542510599478866,0.007424894204820454,0.0009525501617854426
access,3,0.49019777864624836,0.05997192542807076,0.49367255278467465,0.060716924571322606,-0.0034747741384262842,-0.0007449991432518441
access,4,0.5123378366595196,0.060025823832148106,0.5063881877000322,0.05902606015432419,0.0059496489594873525,0.0009997636778239158
access,5,0.536538968570708,0.06505850670183856,0.5311814809192293,0.06374309321094508,0.005357487651478698,0.00131541349089348
access,6,0.49442045068181895,0.05784229388626753,0.4936417943966508,0.05756425836881093,0.0007786562851681555,0.00027803551745659433
access,7,0.5187111587724371,0.062033646509970695,0.5329162176200256,0.0639043377677616,-0.014205058847588492,-0.0018706912577909005
access,8,0.5391851199221137,0.06605766086893211,0.5512751471346538,0.06696418336624896,-0.012090027212540044,-0.0009065224973168473
access,9,0.5524314040742279,0.07051405324935227,0.5361117825029263,0.06841186593169574,0.016319621571301512,0.0021021873176565314
access,10,0.5619632298236391,0.07415062094500074,0.5030237990537715,0.06436117858054968,0.05893943076986763,0.009789442364451062
access,11,0.5425666716642055,0.0676420441708787,0.49240001053874305,0.06080455498020194,0.05016666112546242,0.006837489190676761
access,12,0.5012961148421886,0.06143748461173938,0.5525605805216427,0.0682361718545139,-0.051264465679454085,-0.00679868724277452
access,13,0.5399191245566514,0.07913846569967002,0.5614827948746579,0.07059962779012542,-0.021563670318006545,0.0085388379095446
access,14,0.5549565167070443,0.08059801147477325,0.5373153304836906,0.06774302417980536,0.017641186223353644,0.012854987294967882
access,15,0.540184139442626,0.07035504803988125,0.47262039886633234,0.061351296205288265,0.06756374057629366,0.00900375183459299
access,16,0.5576575871422316,0.07795789490928044,0.5638948528277079,0.07967989913704848,-0.006237265685476334,-0.0017220042277680397
access,17,0.550579787694512,0.07334966000963056,0.5622428170311107,0.07624368488698163,-0.011663029336598685,-0.0028940248773510757
access,18,0.5581433871269253,0.07472605286675885,0.5526665591882157,0.07177707732799592,0.0054768279387096275,0.0029489755387629296
access,19,0.54127828523359,0.06877648634378682,0.5403837953024808,0.06874165926283961,0.0008944899311091881,3.482708094720843e-05
access,20,0.5764606509681216,0.08215709200982516,0.5694021474570891,0.07693661373353186,0.007058503511032543,0.005220478276293294
access,21,0.5507162487344099,0.07176535202033708,0.5364071621423256,0.06853237843387541,0.014309086592084297,0.003232973586461671
access,22,0.5512709112499827,0.07019814866549949,0.5374645509303577,0.06723641124906583,0.01380636031962501,0.0029617374164336574
access,23,0.542812975576463,0.0688520664427448,0.529604861434348,0.06710541278976342,0.01320811414211498,0.001746653652981378
access,24,0.5622534953497798,0.0728851132473899,0.5477408604632781,0.0697458526319528,0.014512634886501674,0.003139260615437095
access,25,0.5456030858443353,0.07040514657953222,0.5345883758291419,0.06819435137208742,0.011014710015193385,0.002210795207444799
access,26,0.5483804288641118,0.07024199186546662,0.5478250684704646,0.06935400140660684,0.0005553603936471196,0.0008879904588597748
access,27,0.5309356819884099,0.06739043042893278,0.5319642397865152,0.0672661024706004,-0.0010285577981052896,0.0001243279583323792
access,28,0.5365950183737966,0.06835838240095693,0.5329010493577012,0.06810888107580032,0.003693969016095422,0.00024950132515660917
access,29,0.541911875406965,0.0700019582818297,0.5460294125027131,0.0707158195727502,-0.004117537095748136,-0.0007138612909204922
access,30,0.5395988988895427,0.06833301249433067,0.5195993709374086,0.06721442572837133,0.01999952795213411,0.0011185867659593424
access,31,0.53629570082014,0.06618377834952882,0.5381484416461015,0.06698809652944698,-0.0018527408259615408,-0.000804318179918162
fracture,0,0.4890708890433456,0.06331060793915279,0.5968259093743373,0.07897693507781667,-0.10775502033099171,-0.01566632713866388
fracture,1,0.4923827031625012,0.06013174186893128,0.4939585934040015,0.060392315164659496,-0.0015758902415002884,-0.00026057329572821974
fracture,2,0.4723283361081174,0.05602029592224715,0.5083700359697337,0.06326372250827685,-0.036041699861616316,-0.007243426586029694
fracture,3,0.5186010555680319,0.0645902376345247,0.5190042942241414,0.06423288931339152,-0.0004032386561094725,0.00035734832113318293
fracture,4,0.4594387037220582,0.0568870101552105,0.5215575681975864,0.06784134149253163,-0.06211886447552817,-0.010954331337321127
fracture,5,0.48860032789291635,0.06026886375146951,0.5174946098720421,0.06654230957173231,-0.028894281979125747,-0.006273445820262798
fracture,6,0.4820981053472829,0.05856371167601333,0.5214403842751917,0.06627589273966214,-0.03934227892790876,-0.007712181063648807
fracture,7,0.45995540951171743,0.05577216430085864,0.48595748558136853,0.05938210416633035,-0.026002076069651103,-0.0036099398654717077
fracture,8,0.5220990118046469,0.06289379425491588,0.5087977866130362,0.06298721367408729,0.0133012251916107,-9.341941917140328e-05
fracture,9,0.4683955704659254,0.05582627081972324,0.5549253929131972,0.07267237784892099,-0.08652982244727181,-0.016846107029197747
fracture,10,0.5217492055167811,0.06485262515882792,0.5057223273308501,0.06321232380577145,0.01602687818593096,0.0016403013530564697
fracture,11,0.4983232765704923,0.060134211496434956,0.5749112252041568,0.07502979337666077,-0.07658794863366453,-0.014895581880225814
fracture,12,0.4914310797569565,0.06061197039258209,0.5057096118355103,0.06278683798753563,-0.01427853207855384,-0.0021748675949535418
fracture,13,0.5329920667729742,0.066587395885901,0.4866901524855751,0.05913858360373945,0.04630191428739905,0.00744881228216155
fracture,14,0.5470615459457832,0.07549944965081948,0.4878765891232644,0.05879824175481618,0.05918495682251873,0.016701207896003295
