family,auroc,auprc,auroc_ci_low,auroc_ci_high,auprc_ci_low,auprc_ci_high,rewired_auroc,rewired_auprc,auroc_drop,auprc_drop,auroc_drop_ci_low,auroc_drop_ci_high,auprc_drop_ci_low,auprc_drop_ci_high
access,0.5412476962182222,0.0656040448391342,0.5259667859684336,0.556780932536003,0.05371417470843924,0.07980583953730795,0.5281445695989884,0.06423164485981671,0.013103126619233851,0.0013723999793174985,-0.033440582553117014,0.04944838631223102,-0.004744605471943716,0.007013780671386751
fracture,0.5131595763299831,0.06551729355315596,0.492730738551727,0.5352498321544729,0.05333205793876398,0.07971745105123464,0.5870921945552338,0.08763485204778983,-0.07393261822525066,-0.02211755849463387,-0.1299772044913263,-0.024207351376348232,-0.04770167072681993,-0.006625466718884812
integration,0.5571004248117141,0.0783169774979695,0.5370058888850912,0.5751324454322283,0.06233302877099799,0.09885346114330051,0.5557148388638733,0.07777062033730212,0.0013855859478407728,0.0005463571606673795,0.0004235767849340516,0.002422565468361423,0.00019266420109812255,0.0010661702916557655
lockin,0.5248650429265588,0.06480517173132296,0.5089638111261083,0.5424282657809307,0.053256043353267266,0.07869931253667461,0.5094218103678649,0.062159959063286634,0.015443232558693842,0.0026452126680363217,0.008438667855644849,0.022182063449995404,0.0015957036764094738,0.003852682091147731
all,0.5346055122644622,0.06542726031693644,0.5202858143109002,0.5517032334423128,0.053522927732600215,0.07922102590261396,0.5523707545489104,0.06822566793287635,-0.0177652422844482,-0.002798407615939913,-0.03944884642827418,0.0012746922155234938,-0.005573294666566381,-0.000264771074967858
