feature,layer,anomaly_auroc,anomaly_auprc,raw_auroc,raw_separability,rewired_anomaly_auroc,real_minus_rewired_auroc
prompt_mass_mean,0,0.5049355584091014,0.06671566983160203,0.4425290552518697,0.5574709447481303,0.5049355584091014,0.0
prompt_mass_mean,1,0.5116183776859681,0.06551239121909772,0.4653971177165053,0.5346028822834947,0.5116183776859681,0.0
prompt_mass_mean,2,0.5120525425344924,0.06537266860982022,0.45443000298597724,0.5455699970140228,0.5120525425344924,0.0
prompt_mass_mean,3,0.5048139096352968,0.06357522927781192,0.5043327642621187,0.5043327642621187,0.5048139096352968,0.0
prompt_mass_mean,4,0.5186218648807679,0.06625838293080695,0.49540244825038043,0.5045975517496195,0.5186218648807679,0.0
prompt_mass_mean,5,0.515417724723013,0.06511097523749776,0.48715783430084847,0.5128421656991515,0.515417724723013,0.0
prompt_mass_mean,6,0.5416421996364134,0.07218064961040892,0.5200395453786983,0.5200395453786983,0.5416421996364134,0.0
prompt_mass_mean,7,0.5379715617037133,0.0719502616654869,0.4746584271051453,0.5253415728948547,0.5379715617037133,0.0
prompt_mass_mean,8,0.5324001391365006,0.07083746824047193,0.4469029629550636,0.5530970370449364,0.5324001391365006,0.0
prompt_mass_mean,9,0.5362861014680218,0.07209934111905378,0.4408877714824122,0.5591122285175878,0.5362861014680218,0.0
prompt_mass_mean,10,0.53639741066847,0.07339187866285518,0.44688964054103897,0.553110359458961,0.53639741066847,0.0
prompt_mass_mean,11,0.5313114587502306,0.0677984890179633,0.4011279654329228,0.5988720345670773,0.5313114587502306,0.0
prompt_mass_mean,12,0.5401005681511658,0.0776173650384154,0.4673958122924401,0.5326041877075599,0.5401005681511658,0.0
prompt_mass_mean,13,0.5007526920842749,0.06415976953062831,0.43102974811149486,0.5689702518885051,0.5007526920842749,0.0
prompt_mass_mean,14,0.5068722704341837,0.06541652044418834,0.42776817964542146,0.5722318203545785,0.5068722704341837,0.0
prompt_mass_mean,15,0.515508430053484,0.06751630703189176,0.40697579476550666,0.5930242052344934,0.515508430053484,0.0
prompt_mass_mean,16,0.5368566489431774,0.07580279666954114,0.4361209176485053,0.5638790823514948,0.5368566489431774,0.0
prompt_mass_mean,17,0.5230097348502432,0.07095105886462727,0.44041513238041347,0.5595848676195865,0.5230097348502432,0.0
prompt_mass_mean,18,0.525698011376824,0.06976185187795018,0.4703286503884907,0.5296713496115093,0.525698011376824,0.0
prompt_mass_mean,19,0.5184094794111853,0.07001554905643231,0.45278393443898135,0.5472160655610186,0.5184094794111853,0.0
prompt_mass_mean,20,0.5304045465893993,0.07451774946273468,0.47494285084291127,0.5250571491570888,0.5304045465893993,0.0
prompt_mass_mean,21,0.537844706288995,0.07748908166570795,0.4569285868423793,0.5430714131576206,0.537844706288995,0.0
prompt_mass_mean,22,0.52401861719145,0.06798481804352638,0.45780985316018014,0.5421901468398198,0.52401861719145,0.0
prompt_mass_mean,23,0.519050109527651,0.06700107964753818,0.46492599355882064,0.5350740064411794,0.519050109527651,0.0
prompt_mass_mean,24,0.5253092525145566,0.0691129268450748,0.46562056259323337,0.5343794374067666,0.5253092525145566,0.0
prompt_mass_mean,25,0.5259012664056237,0.07217599532144085,0.4700911569908877,0.5299088430091123,0.5259012664056237,0.0
prompt_mass_mean,26,0.5165840028780806,0.06696089555808248,0.44982366110915256,0.5501763388908474,0.5165840028780806,0.0
prompt_mass_mean,27,0.5251910649023472,0.07076809515678281,0.44627192434938945,0.5537280756506106,0.5251910649023472,0.0
prompt_mass_mean,28,0.5133974382699398,0.06935467220195785,0.4838438826360407,0.5161561173639593,0.5133974382699398,0.0
prompt_mass_mean,29,0.5490654205021209,0.07804404186547557,0.43430059914008873,0.5656994008599112,0.5490654205021209,0.0
prompt_mass_mean,30,0.532041011079481,0.06979073356525552,0.43598992671809744,0.5640100732819026,0.532041011079481,0.0
prompt_mass_mean,31,0.5395939055327146,0.07267594876408234,0.46750835414944186,0.5324916458505582,0.5395939055327146,0.0
prompt_effective_sources_mean,0,0.5003605300862295,0.06616277690490087,0.392087721862497,0.607912278137503,0.5003605300862295,0.0
prompt_effective_sources_mean,1,0.494405484725723,0.05996058119039374,0.3746571975851223,0.6253428024148777,0.494405484725723,0.0
prompt_effective_sources_mean,2,0.4946440100419166,0.05661835492379348,0.3253903475150522,0.6746096524849479,0.4946440100419166,0.0
prompt_effective_sources_mean,3,0.49234402032973723,0.060432977104251676,0.407991972677054,0.592008027322946,0.49234402032973723,0.0
prompt_effective_sources_mean,4,0.492041268274996,0.05656649426975072,0.3152894641425541,0.6847105358574459,0.492041268274996,0.0
prompt_effective_sources_mean,5,0.5182860004717342,0.061327017410320095,0.3291007252913523,0.6708992747086477,0.5182860004717342,0.0
prompt_effective_sources_mean,6,0.47619196006820075,0.05526317286236657,0.3238287551486151,0.6761712448513849,0.47619196006820075,0.0
prompt_effective_sources_mean,7,0.4944972752958062,0.05840718719554112,0.3490964533365786,0.6509035466634214,0.4944972752958062,0.0
prompt_effective_sources_mean,8,0.520661721716962,0.06211190469116033,0.30677832663579485,0.6932216733642051,0.520661721716962,0.0
prompt_effective_sources_mean,9,0.5287724873566448,0.0638475013025166,0.3112404837659446,0.6887595162340554,0.5287724873566448,0.0
prompt_effective_sources_mean,10,0.544940680363687,0.06743187607042925,0.31091819269338905,0.689081807306611,0.544940680363687,0.0
prompt_effective_sources_mean,11,0.5321996222989767,0.06541936845669392,0.3519658253027693,0.6480341746972307,0.5321996222989767,0.0
prompt_effective_sources_mean,12,0.4910367237557069,0.059633816344117074,0.4001645345576676,0.5998354654423323,0.4910367237557069,0.0
prompt_effective_sources_mean,13,0.5329441970418751,0.0688599131270965,0.34459869344678373,0.6554013065532163,0.5329441970418751,0.0
prompt_effective_sources_mean,14,0.5460290486651553,0.06956552669024613,0.35117893405632455,0.6488210659436755,0.5460290486651553,0.0
prompt_effective_sources_mean,15,0.5254062999100444,0.06476757953083347,0.36082452804622994,0.6391754719537701,0.5254062999100444,0.0
prompt_effective_sources_mean,16,0.5300927597580606,0.0649522754098462,0.3681640694101691,0.6318359305898309,0.5300927597580606,0.0
prompt_effective_sources_mean,17,0.5237232500981734,0.06483241228218219,0.3875730497993248,0.6124269502006752,0.5237232500981734,0.0
prompt_effective_sources_mean,18,0.5342389145596498,0.06540217281454005,0.3847789263404591,0.6152210736595409,0.5342389145596498,0.0
prompt_effective_sources_mean,19,0.5267451625287463,0.06393161738697616,0.3428895633823845,0.6571104366176155,0.5267451625287463,0.0
prompt_effective_sources_mean,20,0.5470380815598344,0.06838369547125085,0.3454680817229339,0.6545319182770661,0.5470380815598344,0.0
prompt_effective_sources_mean,21,0.51470223346076,0.06304083462089972,0.38315000050184495,0.6168499994981551,0.51470223346076,0.0
prompt_effective_sources_mean,22,0.5317797004362286,0.06580114231540156,0.38595128936502815,0.6140487106349719,0.5317797004362286,0.0
prompt_effective_sources_mean,23,0.5304562005447526,0.06622138400231488,0.4072047536631542,0.5927952463368458,0.5304562005447526,0.0
prompt_effective_sources_mean,24,0.5399491317455798,0.06789962644459785,0.39157831321144354,0.6084216867885565,0.5399491317455798,0.0
prompt_effective_sources_mean,25,0.5293281582668284,0.06610812315668743,0.4070075631164067,0.5929924368835933,0.5293281582668284,0.0
prompt_effective_sources_mean,26,0.5457969877386742,0.06806948880468891,0.39401203518183725,0.6059879648181627,0.5457969877386742,0.0
prompt_effective_sources_mean,27,0.5276001321734025,0.06532319611796314,0.35455935194257887,0.6454406480574211,0.5276001321734025,0.0
