feature,layer,responses,standardized_late_minus_onset,paired_dz,expected_direction,direction_supported
prompt_mass_mean,0,161,0.10153813792033965,0.20866136840468874,0,
prompt_mass_mean,1,161,-0.01644354443187299,-0.020801663250986473,0,
prompt_mass_mean,2,161,-0.1252859492572198,-0.13108456087234815,0,
prompt_mass_mean,3,161,-0.2532624671270388,-0.2407649006293171,0,
prompt_mass_mean,4,161,-0.32652702932217104,-0.3943083292318116,0,
prompt_mass_mean,5,161,-0.29286121757504363,-0.339758208207178,0,
prompt_mass_mean,6,161,-0.15483346558320596,-0.16920099533358934,0,
prompt_mass_mean,7,161,-0.02270807131477024,-0.02539718565059507,0,
prompt_mass_mean,8,161,0.05367381542180636,0.05774508431980986,0,
prompt_mass_mean,9,161,0.09426711555223287,0.1048691044881944,0,
prompt_mass_mean,10,161,0.027815062066783077,0.03048381728931723,0,
prompt_mass_mean,11,161,0.1840252631014178,0.1860823371083136,0,
prompt_mass_mean,12,161,-0.47321074053367473,-0.5108184407225946,0,
prompt_mass_mean,13,161,0.12424410153064669,0.15482554453920866,0,
prompt_mass_mean,14,161,0.072692847700778,0.08031822217698022,0,
prompt_mass_mean,15,161,-0.17372924552200744,-0.17730667888140883,0,
prompt_mass_mean,16,161,-0.4815980596294314,-0.510163310686147,0,
prompt_mass_mean,17,161,-0.26544084159298714,-0.2739082742192902,0,
prompt_mass_mean,18,161,0.07275808024110261,0.07476771237098363,0,
prompt_mass_mean,19,161,-0.32560066041183766,-0.3379226128730066,0,
prompt_mass_mean,20,161,-0.06244783642591897,-0.06043380750301686,0,
prompt_mass_mean,21,161,0.12053200491466877,0.12005838523928067,0,
prompt_mass_mean,22,161,-0.0817419856740451,-0.08199140188820957,0,
prompt_mass_mean,23,161,-0.20332399029169024,-0.2293378985020778,0,
prompt_mass_mean,24,161,-0.7514361623235001,-0.919800968453575,0,
prompt_mass_mean,25,161,-0.26242908148199134,-0.2707290966714549,0,
prompt_mass_mean,26,161,-0.35195115629745566,-0.38791858370702886,0,
prompt_mass_mean,27,161,-0.5499172303709925,-0.6251066707862338,0,
prompt_mass_mean,28,161,-0.5127452537648797,-0.6066144259001859,0,
prompt_mass_mean,29,161,-0.3637134824295222,-0.34443883099012623,0,
prompt_mass_mean,30,161,-0.6778507247243238,-0.6961626425163431,0,
prompt_mass_mean,31,161,-0.7421753630504845,-0.7424456517602075,0,
prompt_effective_sources_mean,0,161,0.60795816580146,0.48231047684452005,0,
prompt_effective_sources_mean,1,161,-0.06620402805368353,-0.029061557837378283,0,
prompt_effective_sources_mean,2,161,0.12070114348338258,0.08910912149666482,0,
prompt_effective_sources_mean,3,161,0.4543318658696939,0.16985569414244153,0,
prompt_effective_sources_mean,4,161,0.21557607154668487,0.1478838501270796,0,
prompt_effective_sources_mean,5,161,0.0565092670528785,0.05738566158327322,0,
prompt_effective_sources_mean,6,161,0.13073763149495451,0.06950345781535694,0,
prompt_effective_sources_mean,7,161,0.2402970582385611,0.1451382352971977,0,
prompt_effective_sources_mean,8,161,-0.13421604358909292,-0.15871131513663533,0,
prompt_effective_sources_mean,9,161,-0.15356908257333388,-0.18732877816416577,0,
prompt_effective_sources_mean,10,161,-0.23223774639530953,-0.26794755977630985,0,
prompt_effective_sources_mean,11,161,-0.02815094997423776,-0.029585238726357592,0,
prompt_effective_sources_mean,12,161,0.13992957058160202,0.09238435486969411,0,
prompt_effective_sources_mean,13,161,-0.36856533448148215,-0.4465050379357852,0,
prompt_effective_sources_mean,14,161,-0.3279659053461152,-0.3991704740736694,0,
prompt_effective_sources_mean,15,161,-0.48528206676985164,-0.5421474203956278,0,
prompt_effective_sources_mean,16,161,-0.31258529507965777,-0.3786077874499456,0,
prompt_effective_sources_mean,17,161,-0.2626802493465243,-0.33259370787646647,0,
prompt_effective_sources_mean,18,161,-0.4930417957883444,-0.606656702991307,0,
prompt_effective_sources_mean,19,161,-0.34610400362784816,-0.3742644357220913,0,
prompt_effective_sources_mean,20,161,-0.44773221279708497,-0.47179495510610486,0,
prompt_effective_sources_mean,21,161,-0.5138752532903081,-0.5370960543791412,0,
prompt_effective_sources_mean,22,161,-0.572868465174059,-0.4809757926696435,0,
prompt_effective_sources_mean,23,161,-0.5867743903528089,-0.48845021585555604,0,
prompt_effective_sources_mean,24,161,-0.4366255765375884,-0.3360858606299275,0,
prompt_effective_sources_mean,25,161,0.07730184606513622,0.05641760517717291,0,
prompt_effective_sources_mean,26,161,-0.021059086303348126,-0.017017018442778985,0,
prompt_effective_sources_mean,27,161,-0.013987612742814959,-0.011084217033805233,0,
prompt_effective_sources_mean,28,161,-0.25313457876721523,-0.18989211924950583,0,
prompt_effective_sources_mean,29,161,0.9653185712902442,0.6140538458375071,0,
prompt_effective_sources_mean,30,161,-0.048539388762867966,-0.03611493321685222,0,
prompt_effective_sources_mean,31,161,0.4377830772666457,0.24604943563833864,0,
prompt_top1_share_mean,0,161,-0.5203068462888831,-0.37904868158349897,0,
prompt_top1_share_mean,1,161,0.0904845748999104,0.04538681385778014,0,
prompt_top1_share_mean,2,161,-0.16241940962416784,-0.13544639550175688,0,
prompt_top1_share_mean,3,161,-0.39962960215088744,-0.17275239925799032,0,
prompt_top1_share_mean,4,161,-0.2703257223926716,-0.22780150512820846,0,
prompt_top1_share_mean,5,161,-0.07191265976021749,-0.08091300790215537,0,
prompt_top1_share_mean,6,161,-0.13801935662208878,-0.08648512144814094,0,
prompt_top1_share_mean,7,161,-0.19864927303994664,-0.14294501257591663,0,
prompt_top1_share_mean,8,161,0.05247652900885351,0.06378355928335526,0,
prompt_top1_share_mean,9,161,0.12585442527110532,0.15296084577530433,0,
prompt_top1_share_mean,10,161,0.12581939574169076,0.1515217638438405,0,
prompt_top1_share_mean,11,161,-0.019511200071121594,-0.021572333476472732,0,
prompt_top1_share_mean,12,161,-0.18661438854214568,-0.12274255808368269,0,
prompt_top1_share_mean,13,161,0.373677678637623,0.39841745784814847,0,
prompt_top1_share_mean,14,161,0.3276403513939484,0.346588907554208,0,
prompt_top1_share_mean,15,161,0.4655556105401205,0.5481232645058812,0,
prompt_top1_share_mean,16,161,0.17070312862810882,0.17875706312317516,0,
prompt_top1_share_mean,17,161,0.20744330528545082,0.2223190963421977,0,
prompt_top1_share_mean,18,161,0.4342678181873345,0.5413395359421015,0,
prompt_top1_share_mean,19,161,0.19894242147851435,0.2334143085567147,0,
prompt_top1_share_mean,20,161,0.3590650578370746,0.41955678174341415,0,
prompt_top1_share_mean,21,161,0.410959943758775,0.5261011136310207,0,
prompt_top1_share_mean,22,161,0.3297826936063559,0.3708022613761975,0,
prompt_top1_share_mean,23,161,0.3734191481648765,0.4288678624907405,0,
prompt_top1_share_mean,24,161,0.21512632141387242,0.23535768713627506,0,
prompt_top1_share_mean,25,161,-0.10116938071221299,-0.08903101660988365,0,
prompt_top1_share_mean,26,161,-0.08085573760804182,-0.08563198701263487,0,
prompt_top1_share_mean,27,161,-0.01545049398211959,-0.017245100192884808,0,
prompt_top1_share_mean,28,161,0.12347898451808076,0.11953681992823227,0,
prompt_top1_share_mean,29,161,-0.9881374758569905,-0.71133151731666,0,
prompt_top1_share_mean,30,161,-0.05896333595795661,-0.05926864698500194,0,
prompt_top1_share_mean,31,161,-0.40990078680633757,-0.3048700189934027,0,
prompt_source_velocity_mean,0,161,0.08057662613273407,0.05568364649707949,0,
prompt_source_velocity_mean,1,161,-0.29159917323763324,-0.19848586072065266,0,
prompt_source_velocity_mean,2,161,0.07547588572368859,0.08558655663118855,0,
prompt_source_velocity_mean,3,161,0.10748486260172002,0.061954847897083234,0,
prompt_source_velocity_mean,4,161,0.11237040856239959,0.09643593156428283,0,
prompt_source_velocity_mean,5,161,0.09599467473370689,0.09529936686504245,0,
prompt_source_velocity_mean,6,161,0.1725977704576824,0.10911091319008337,0,
prompt_source_velocity_mean,7,161,0.20733099775562375,0.1248628785161674,0,
prompt_source_velocity_mean,8,161,0.06363486193166756,0.06023825972103542,0,
prompt_source_velocity_mean,9,161,-0.01410483078371664,-0.013144515479520339,0,
prompt_source_velocity_mean,10,161,-0.002374784407778556,-0.0021926403079284267,0,
prompt_source_velocity_mean,11,161,0.10807750003863566,0.10264845302544914,0,
prompt_source_velocity_mean,12,161,0.2088966132228419,0.10335090471330188,0,
prompt_source_velocity_mean,13,161,0.028785126781241493,0.030395550167125283,0,
prompt_source_velocity_mean,14,161,0.07426864737124177,0.07863497038061999,0,
prompt_source_velocity_mean,15,161,-0.018786500190725978,-0.01755919300601336,0,
prompt_source_velocity_mean,16,161,0.1485608242313314,0.14062876091239151,0,
prompt_source_velocity_mean,17,161,0.03606053247399952,0.03747591832697789,0,
prompt_source_velocity_mean,18,161,-0.23727948704491492,-0.2502271925716736,0,
prompt_source_velocity_mean,19,161,-0.05363694060107936,-0.06057997658485043,0,
prompt_source_velocity_mean,20,161,-0.25210418746523233,-0.2861660588874334,0,
prompt_source_velocity_mean,21,161,-0.3176056714439244,-0.34460807646084546,0,
prompt_source_velocity_mean,22,161,-0.2792396405653924,-0.29615507032320953,0,
prompt_source_velocity_mean,23,161,-0.22232071555549313,-0.23704168942641052,0,
prompt_source_velocity_mean,24,161,-0.09148041607800478,-0.09283351791221997,0,
prompt_source_velocity_mean,25,161,0.010322264447715711,0.011282204727486816,0,
prompt_source_velocity_mean,26,161,0.06678426522553338,0.0794377439942389,0,
prompt_source_velocity_mean,27,161,0.0882151474863846,0.10426852672428014,0,
prompt_source_velocity_mean,28,161,-0.1007642244330104,-0.10419112869890489,0,
prompt_source_velocity_mean,29,161,0.5790278597370438,0.5957786753654181,0,
prompt_source_velocity_mean,30,161,0.14548371458044335,0.1440132137492283,0,
prompt_source_velocity_mean,31,161,0.187000437784269,0.18022568047864349,0,
prompt_response_head_disagreement,0,161,0.17423437299750608,0.2473811531246074,-1,False
prompt_response_head_disagreement,1,161,0.2885583381845344,0.370897048153914,-1,False
prompt_response_head_disagreement,2,161,0.30962530446024783,0.3187886160592863,-1,False
prompt_response_head_disagreement,3,161,0.20235107894639792,0.20367723086868414,-1,False
prompt_response_head_disagreement,4,161,0.49328933327649693,0.523403117305605,-1,False
prompt_response_head_disagreement,5,161,0.3986222754168955,0.45275877615836,-1,False
prompt_response_head_disagreement,6,161,0.4450927954745589,0.4728839086436561,-1,False
prompt_response_head_disagreement,7,161,0.35520829983425806,0.4186648553052769,-1,False
prompt_response_head_disagreement,8,161,0.45339397928729563,0.4813219345942734,-1,False
prompt_response_head_disagreement,9,161,0.06355366878998206,0.07626981681516322,-1,False
prompt_response_head_disagreement,10,161,0.23843644670447947,0.24967870430008213,-1,False
prompt_response_head_disagreement,11,161,0.13059964007842614,0.15333900721327542,-1,False
prompt_response_head_disagreement,12,161,0.2851119314939339,0.36656308262031645,-1,False
prompt_response_head_disagreement,13,161,0.21637308083891127,0.22129260575788992,-1,False
prompt_response_head_disagreement,14,161,0.14979693714691245,0.16462695571631122,-1,False
prompt_response_head_disagreement,15,161,0.16568369714554793,0.16140803853391003,-1,False
prompt_response_head_disagreement,16,161,0.6094060182247473,0.6439798292943552,-1,False
prompt_response_head_disagreement,17,161,0.3048395958515058,0.33130010533560533,-1,False
prompt_response_head_disagreement,18,161,0.1443379108580003,0.1500653348152904,-1,False
prompt_response_head_disagreement,19,161,0.42918563823892464,0.4601730170376645,-1,False
prompt_response_head_disagreement,20,161,0.2358846589922905,0.22643305667010347,-1,False
prompt_response_head_disagreement,21,161,0.2035427204570415,0.19690668854718085,-1,False
prompt_response_head_disagreement,22,161,0.36584598409092944,0.40167198774983304,-1,False
prompt_response_head_disagreement,23,161,0.5658752663720469,0.6589213109633474,-1,False
prompt_response_head_disagreement,24,161,1.0441160451921616,1.1895166646546116,-1,False
prompt_response_head_disagreement,25,161,0.3264259331576202,0.3997460323814515,-1,False
prompt_response_head_disagreement,26,161,0.4825079901525693,0.5658180276208014,-1,False
prompt_response_head_disagreement,27,161,0.7068254368969743,0.8629558077146633,-1,False
prompt_response_head_disagreement,28,161,0.5721550393641365,0.7416744967000821,-1,False
prompt_response_head_disagreement,29,161,0.5308599574780613,0.5175142433799581,-1,False
prompt_response_head_disagreement,30,161,0.8193730538861351,0.8861257856309015,-1,False
prompt_response_head_disagreement,31,161,0.7526284544641927,0.9668544658286887,-1,False
prompt_mass_head_std,0,161,0.12465698855078738,0.20097579021069759,0,
prompt_mass_head_std,1,161,-0.05445029642085852,-0.05927892523172953,0,
prompt_mass_head_std,2,161,-0.12516128212815117,-0.12770550448322693,0,
prompt_mass_head_std,3,161,-0.2183809396087753,-0.21161778193303196,0,
prompt_mass_head_std,4,161,-0.006128278485736492,-0.00740777815006805,0,
prompt_mass_head_std,5,161,-0.34800556579732006,-0.3795066153296021,0,
prompt_mass_head_std,6,161,-0.029102738333507353,-0.031564837384443045,0,
prompt_mass_head_std,7,161,0.05883064495850794,0.07451636758482875,0,
prompt_mass_head_std,8,161,0.1431464905046528,0.15411746223257547,0,
prompt_mass_head_std,9,161,-0.11556889033465652,-0.1424649110661937,0,
prompt_mass_head_std,10,161,-0.06738362782952949,-0.0710155515242954,0,
prompt_mass_head_std,11,161,0.005798463680729363,0.007513347049922353,0,
prompt_mass_head_std,12,161,-0.4657774235683013,-0.6553193735082572,0,
prompt_mass_head_std,13,161,0.4038702459624095,0.4716704916523193,0,
prompt_mass_head_std,14,161,0.2086013953508057,0.2638452699558997,0,
prompt_mass_head_std,15,161,0.0015792304777210544,0.0016096141367005971,0,
prompt_mass_head_std,16,161,0.4347765377219419,0.44320122138291823,0,
prompt_mass_head_std,17,161,-0.08211998322180339,-0.0882395816200856,0,
prompt_mass_head_std,18,161,0.0036682849229307648,0.0037888936633639794,0,
prompt_mass_head_std,19,161,0.12031262157403905,0.12870229962870047,0,
prompt_mass_head_std,20,161,0.13486498131515076,0.12418308979970782,0,
