family,offset,tokens,mean_score,standard_error
access,-4,221,1.217763831173133,0.03588456597884087
access,-3,222,1.1733997252073374,0.03098837792127061
access,-2,222,1.0487336892265458,0.023865865108873997
access,-1,222,1.4133429693746138,0.043054891479781456
access,0,222,1.2448146684212729,0.03140014811846206
access,1,222,1.1580858453437015,0.028842233641358815
access,2,221,1.1665648124876065,0.02977273387157575
access,3,220,1.1536213273351843,0.028536209880833437
access,4,220,1.2357448675415732,0.04125846123934757
all,-4,221,1.0844224311107964,0.021830634215845898
all,-3,222,1.0745300076029323,0.02197454701583051
all,-2,222,1.007173319926133,0.015794118517774514
all,-1,222,1.1958451193195205,0.025856318979782293
all,0,222,1.0972372414292515,0.019374078362972048
all,1,222,1.0606535052930988,0.01841001907143196
all,2,221,1.065146151710959,0.01893039311027677
all,3,220,1.0676957073536786,0.021488302908880572
all,4,220,1.1157252130183306,0.026262541023597975
fracture,-4,221,1.0409265489599824,0.018501101348582006
fracture,-3,222,1.0350676463530943,0.018200964157066287
fracture,-2,222,0.9797030429582338,0.01288783145704791
fracture,-1,222,1.0297802042316746,0.013953551252919694
fracture,0,222,1.0354189722387641,0.01706767905325771
fracture,1,222,0.9953801288261069,0.015127638135569308
fracture,2,221,0.9906597903411313,0.014359205141904807
fracture,3,220,1.0047522515058518,0.016967980201060013
fracture,4,220,1.0496358397332104,0.020934792956652792
integration,-4,221,0.8313759007065544,0.021074254517269294
integration,-3,222,0.8265325715681454,0.020237445210052798
integration,-2,222,0.7418005598020984,0.01496544845153621
integration,-1,222,0.8552217061992164,0.020511178035361035
integration,0,222,0.8364696363071064,0.019954268473938556
integration,1,222,0.8246226133526983,0.017756281935593855
integration,2,221,0.8369659910914046,0.019478934703435136
integration,3,220,0.8501567508686673,0.022509675450852258
integration,4,220,0.8573992769826543,0.024410792477160353
lockin,-4,221,1.0659621436132025,0.025860223523730592
lockin,-3,222,1.086386648115811,0.02766020596877728
lockin,-2,222,1.0620978737736608,0.020728920197137436
lockin,-1,222,1.212596795848898,0.03202976663540886
lockin,0,222,1.0960702214155111,0.022346131096034175
lockin,1,222,1.0749244657722679,0.025318841097234136
lockin,2,221,1.082172602549937,0.02492972770301945
lockin,3,220,1.0875106128779324,0.028320386872741677
lockin,4,220,1.1294931918382645,0.02803788263164052
