method,aggregation,cells,sentences,mean,low,high,sources
current,maximum,69,375,0.871662191974692,0.8033306277056277,0.9323963406385282,44
current,mean,69,375,0.8760468697968697,0.8100806225024976,0.9328616695804196,44
current,top4_mean,69,375,0.8766743672993674,0.809911989052614,0.9357994349400598,44
current_increment,maximum,69,375,0.7507537023162023,0.6720620525308026,0.825332660684223,44
current_increment,mean,69,375,0.7269427331927332,0.6431686658249158,0.8041108052826803,44
current_increment,top4_mean,69,375,0.8004642348392348,0.7247350305944056,0.8671546509046508,44
past_ewma,maximum,69,375,0.8609380203130201,0.7868830735236987,0.9255141819985568,44
past_ewma,mean,69,375,0.8650875166500168,0.7997201366341993,0.9215653313700186,44
past_ewma,top4_mean,69,375,0.8730705058830058,0.8046488884379508,0.9331459252553002,44
