id,source_id,error_start,normal_start,length,observed_tokens,method,aggregation,error_score,normal_score,gap,paired_win
12045,14323,91,48,15,1,current,current,0.4055254161357879,0.2366742640733719,0.16885115206241602,1.0
12045,14323,91,48,15,1,current,prefix_mean,0.4055254161357879,0.2366742640733719,0.16885115206241602,1.0
12045,14323,91,48,15,1,past_ewma,current,0.3920859132833789,0.2715855752519587,0.12050033803142018,1.0
12045,14323,91,48,15,1,past_ewma,prefix_mean,0.3920859132833789,0.2715855752519587,0.12050033803142018,1.0
12045,14323,91,48,15,1,current_increment,current,0.0893921509385108,0.0650150269269943,0.024377124011516496,1.0
12045,14323,91,48,15,1,current_increment,prefix_mean,0.0893921509385108,0.0650150269269943,0.024377124011516496,1.0
12045,14323,91,48,15,2,current,current,0.4151948988437652,0.2447056621313095,0.1704892367124557,1.0
12045,14323,91,48,15,2,current,prefix_mean,0.41036015748977656,0.2406899631023407,0.16967019438743586,1.0
12045,14323,91,48,15,2,past_ewma,current,0.3988056647095834,0.2541299196626653,0.1446757450469181,1.0
12045,14323,91,48,15,2,past_ewma,prefix_mean,0.39544578899648114,0.262857747457312,0.13258804153916914,1.0
12045,14323,91,48,15,2,current_increment,current,0.0838205233216285,0.0587734796106814,0.025047043710947098,1.0
12045,14323,91,48,15,2,current_increment,prefix_mean,0.08660633713006965,0.06189425326883785,0.024712083861231804,1.0
12045,14323,91,48,15,4,current,current,0.7795929312705994,0.1920908987522125,0.5875020325183868,1.0
12045,14323,91,48,15,4,current,prefix_mean,0.543634757399559,0.24450840801000595,0.29912634938955307,1.0
12045,14323,91,48,15,4,past_ewma,current,0.4906130325623789,0.2769902989900586,0.2136227335723203,1.0
12045,14323,91,48,15,4,past_ewma,prefix_mean,0.4221262230830039,0.2630308962004175,0.15909532688258643,1.0
12045,14323,91,48,15,4,current_increment,current,0.4034474626183509,-0.029302078485489,0.4327495411038399,1.0
12045,14323,91,48,15,4,current_increment,prefix_mean,0.20171201974153513,0.04952232539653768,0.15218969434499746,1.0
12045,14323,91,48,15,8,current,current,0.8594989776611328,0.1361039727926254,0.7233950048685074,1.0
12045,14323,91,48,15,8,current,prefix_mean,0.5929875187575817,0.19460525549948215,0.39838226325809956,1.0
12045,14323,91,48,15,8,past_ewma,current,0.6033204079408723,0.1651564131530403,0.43816399478783197,1.0
12045,14323,91,48,15,8,past_ewma,prefix_mean,0.5081565738781758,0.2248441010692636,0.2833124728089122,1.0
12045,14323,91,48,15,8,current_increment,current,0.358558890223503,-0.0916275247931481,0.45018641501665113,1.0
12045,14323,91,48,15,8,current_increment,prefix_mean,0.19749889951199287,-0.01793128363788136,0.21543018314987422,1.0
12219,14353,218,197,13,1,current,current,0.1848775148391723,0.2956389784812927,-0.11076146364212042,0.0
12219,14353,218,197,13,1,current,prefix_mean,0.1848775148391723,0.2956389784812927,-0.11076146364212042,0.0
12219,14353,218,197,13,1,past_ewma,current,0.2136352610409923,0.1752287763694363,0.038406484671556024,1.0
12219,14353,218,197,13,1,past_ewma,prefix_mean,0.2136352610409923,0.1752287763694363,0.038406484671556024,1.0
12219,14353,218,197,13,1,current_increment,current,-0.0698765501379967,0.1072056770324706,-0.1770822271704673,0.0
12219,14353,218,197,13,1,current_increment,prefix_mean,-0.0698765501379967,0.1072056770324706,-0.1770822271704673,0.0
12219,14353,218,197,13,2,current,current,0.2112593203783035,0.2794123589992523,-0.06815303862094882,0.0
12219,14353,218,197,13,2,current,prefix_mean,0.1980684176087379,0.2875256687402725,-0.08945725113153463,0.0
12219,14353,218,197,13,2,past_ewma,current,0.1992563879400823,0.2354338774253645,-0.03617748948528221,0.0
12219,14353,218,197,13,2,past_ewma,prefix_mean,0.2064458244905373,0.2053313268974004,0.0011144975931368928,1.0
