model,region,pairs,auc_delta_mean,auc_delta_low,auc_delta_high,auc_delta_sources,gap_delta_mean,gap_delta_low,gap_delta_high,gap_delta_sources
current_increment,all,50,-0.17046054890128112,-0.22952316419868068,-0.10401312950085075,40,-1.4838056449363564,-1.881729815999557,-1.0811755152620628,40
current_increment,back,50,-0.2277933495965346,-0.31083964446331525,-0.1373263478770335,40,-2.0033578868890554,-2.546339634588602,-1.451059121190475,40
current_increment,front,50,-0.11726967520411122,-0.17369044202718847,-0.06208517575812501,40,-0.9132696724096114,-1.2569608492064983,-0.5581506107472858,40
prompt_only,all,50,0.044263753348746056,0.01022974817246644,0.07931519216014501,40,0.5484892163851204,0.2383518814647618,0.8777981122737162,40
prompt_only,back,50,0.06283665351738395,-0.003491891456603455,0.12795134741693445,40,0.7379209203485404,0.2929054109500965,1.1743426449925796,40
prompt_only,front,50,0.0173759083368595,-0.0160840863893065,0.05530736319955294,40,0.3322734723389952,0.016746309405596183,0.6647770393435833,40
prompt_predicted_full,all,50,0.0166285302099854,-0.012072377527861281,0.045050956994232554,40,-0.4267498533201203,-0.5966775726232357,-0.2553711188170654,40
prompt_predicted_full,back,50,0.03397015426981599,-0.007856868002255313,0.07115812240238453,40,-0.36461187667884637,-0.6088272423243025,-0.15603642558307526,40
prompt_predicted_full,front,50,-0.007673206504761024,-0.04505597865162153,0.028351977590303938,40,-0.5030939779213554,-0.7629267041465149,-0.24251494300028195,40
full_unexplained_by_prompt,all,50,-0.21270632211117557,-0.2770809394419739,-0.1443750858637699,40,-1.9024232774046397,-2.3516734231073824,-1.4473582851657933,40
full_unexplained_by_prompt,back,50,-0.2040946046049063,-0.28188248600699306,-0.12581119739755273,40,-2.071924029127036,-2.6066966934452593,-1.533702028872924,40
full_unexplained_by_prompt,front,50,-0.228357925566934,-0.3139764613757004,-0.14121989172602545,40,-1.7419818598712808,-2.229830363371875,-1.2392410878103572,40
self_after_prompt_regression,all,50,-0.22687007228180325,-0.30297374635158336,-0.15955199074742912,40,-2.187364894951164,-2.6574542261192176,-1.6966246535496583,40
self_after_prompt_regression,back,50,-0.213264929450499,-0.2987450830117066,-0.1373247017915768,40,-2.316299956271143,-2.9161862468198407,-1.7182281815069402,40
self_after_prompt_regression,front,50,-0.24847871484051906,-0.33564598251680866,-0.16054093826297203,40,-2.0795688197164583,-2.624051295491241,-1.5212851987469551,40
self_plus_prompt,all,50,0.049949710183197785,0.016687895770942127,0.08197764939886518,40,0.874728937404246,0.5683684931730519,1.1982376539381219,40
self_plus_prompt,back,50,0.06607847092064285,0.02281353065581005,0.11247432537126044,40,1.043240040972314,0.6093803976308745,1.4672429269998974,40
self_plus_prompt,front,50,0.03699759221164768,0.0070311271025981165,0.07158779592914569,40,0.682504121197597,0.37416328689079803,0.9948045877562218,40
