score,pairs,hallucination_minus_matched_correct,median_difference,paired_dz
recovery,415,0.0024248098213988612,0.0013304166495800018,0.43155319645217277
edge_recovery,415,0.0026566310886697595,0.0013048499822616577,0.4173622438764819
diagonal_recovery,415,0.0005366310881203916,0.0006267037242650986,0.25263137513538747
message_gain,415,-2.7354382517107998e-05,-1.8270686268806458e-05,-0.45247708122431735
layer_order_gain,415,-6.531608930553299e-05,-4.036910831928253e-05,-0.27253647185336194
head_identity_gain,415,-2.2996620959546193e-06,-7.774680852890015e-06,-0.04001210016115881
endpoint_gain,415,5.246959177844495e-07,3.9301812648773193e-07,0.1887200714497695
layer_head_gain,415,-2.5279837918568806e-05,-1.0365620255470276e-05,-0.1497513426526409
full_channel_gain,415,-8.780796596982393e-05,-4.867464303970337e-05,-0.23171817589540328
