phase,pairs,sources,error_alarms,normal_alarms,paired_win,source_mean_win,win_low,win_high,source_alarm_difference,alarm_difference_low,alarm_difference_high
before8,50,40,12,9,0.64,0.6166666666666666,0.475,0.7541666666666667,0.033333333333333326,-0.0875,0.15
first4,49,39,21,3,0.7755102040816326,0.7863247863247863,0.6581196581196581,0.8974358974358975,0.3974358974358974,0.24358974358974358,0.5384615384615384
onset,50,40,7,0,0.76,0.7833333333333334,0.6623958333333332,0.9,0.15,0.05,0.275
span,50,40,40,7,0.86,0.8833333333333334,0.7833333333333333,0.975,0.6833333333333333,0.5166666666666667,0.8252083333333321
