phase,pairs,sources,error_alarms,normal_alarms,paired_win,source_mean_win,win_low,win_high,source_alarm_difference,alarm_difference_low,alarm_difference_high
before8,50,40,4,4,0.64,0.6416666666666666,0.5083333333333333,0.7709374999999995,0.01666666666666667,-0.041666666666666664,0.0875
first4,49,39,9,2,0.8775510204081632,0.876068376068376,0.7692307692307693,0.9615384615384616,0.15384615384615385,0.05128205128205128,0.2692307692307692
onset,50,40,2,0,0.86,0.8666666666666666,0.7666666666666666,0.9541666666666666,0.0375,0.0,0.1
span,50,40,26,4,0.9,0.9041666666666666,0.8125,0.975,0.475,0.3375,0.625
